Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,1.7,2.7,2.5,2.5
Blatný vrch,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,6.8,7.8,18.3,8,9.5,5.6,7.9,4.9,1.6,0.4
Plechý,0,0,0,0,0,0,0,0,0,0,0,0.4,2.5,7.7,3.6,4.2,5.3,8,4.1,4.1,3.8,6.5,6.5,1.5
"Boubín, vrchol",0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.9,5.1,1.1,1.3,1.7,1.1,1,1.1,2.2,1.3,0.7
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0.3,1.8,2
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.5,0.1,1.8,2,2.7,2.5,4.2
Klínovec,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0.3,0.7,0.5,0.3,0.1,1.9,0.7,0.4,2.6,3.7,0
"Bučina, u Kvildy",0.3,0.1,0,0,0,0,0.3,0.3,1.1,1.3,0.9,0.9,1.1,1.6,1.6,2,2.1,4.6,3.1,2.7,3.7,5.7,2.7,0.6
Churáňov,0.1,0.1,0,0,0,0,1.1,0.6,1.8,0.9,0.1,0.2,0.1,0.1,0.3,0.6,0.6,1.2,0.8,1.5,1.4,3.2,1.9,2.4
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.3,2.2,2.9,4.4,3.3,4.4
Filipova Huť,0.2,0.1,0,0,0,0,0.4,0.3,1.6,1.1,0.7,0.7,0.9,1.4,1.1,1.7,2.5,3.4,2.4,1.9,3.7,4.9,1.8,0.4
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0.1,2.2,1,0.2,0.2,0.3,0.6,0.7,1.1,1.3,2.2,1.5,1.5,2.4,4.6,1.6,1.3
