Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1,2.2,2.7,1
Blatný vrch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.7,0.6,2.3,0.8,0.1,0,0,0
Plechý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0,1,0.3,0,0.1,0,0
"Boubín, vrchol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.1,1.1,1.2,1.1,0.1,0,0
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.3,3.5,0.6
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.1,1.6,1.2
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.8,2.1,1.1
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.6,2,4.3,2.8,0.1,0,0.4,0
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.4,0.1,0.9,0.5,0.2,0,0,0
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.7,0.2,0.3,1,0.4,0,0,0
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,1.8,2.2,0.9
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.8,1.5,0.3,0,0,0
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.2,0.5,1.1,0.5,0,0,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,1.6,2.5,0.6
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.6,2.2,4.4,1.1
"Hejnice, Smědavská hora",0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.6,0.8,1.1,1.3,1.4
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,2.2,0.1
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.3,0.1,0.9,0.8,0.6,0,0,0
