js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Tisá,Tisá,Tisá,U1TISA01,14.02167,50.78694,556.0,Tisá,Tisá,ASS
Tišnov. Hájek,"Tišnov, Hájek","Tišnov, Hájek",B2HAJE01,16.4725,49.3731,409.0,Tišnov,Tišnov. Hájek,AKS2
Trhové Sviny,Trhové Sviny,Trhové Sviny,C2TRHS01,14.6378,48.8433,468.0,Trhové Sviny,Trhové Sviny,ASS
Troubsko,Troubsko,Troubsko,B2TROU01,16.5074,49.1745,278.0,Troubsko,Troubsko,AKS2
Trutnov,Trutnov,Trutnov,H1TRUT01,15.898311,50.558597,437.0,Trutnov,Trutnov,AKS3
Třebařov,Třebařov,Třebařov,O2TREB01,16.6969,49.8158,375.0,Třebařov,Třebařov,AKS2
Třebíč. Podklášteří,Třebíč,Třebíč,B2TREB01,15.87,49.2236,463.0,Třebíč,Třebíč. Podklášteří,MSS
Třeboň. Lužnice,"Třeboň, Lužnice","Třeboň, Lužnice",C2TREB01,14.7586,49.0622,428.0,Třeboň,Třeboň. Lužnice,AKS2
Třešť,Třešť,Třešť,B2TRES01,15.476111,49.293889,574.0,Třešť,Třešť,ASS
Tuhaň,Tuhaň,Tuhaň,P2TUHA01,14.520416,50.29582,160.0,Tuhaň,Tuhaň,AKS1
Turnov,Turnov,Turnov,P2TURN01,15.154434,50.589631,253.0,Turnov,Turnov,AKS4
Tušimice,Tušimice,Tušimice,U1KATU01,13.32806,50.37667,321.71,Tušimice,Tušimice,AMS1
Uhelná. Nové Vilémovice,"Uhelná, Nové Vilémovice","Uhelná, Nové Vilémovice",O1UHNV01,16.984708,50.332069,615.0,Uhelná,Uhelná. Nové Vilémovice,AKS4
Úlice,Úlice,Úlice,L2ULIC01,13.143405,49.759189,428.0,Úlice,Úlice,ASS
Úpice,Úpice,Úpice,H1UPIC01,16.011618,50.506419,413.0,Úpice,Úpice,AKS1
Ústí nad Labem. Kočkov,"Ústí nad Labem, Kočkov","Ústí nad Labem, Kočkov",U1ULKO01,14.04111,50.68333,375.39,Ústí nad Labem,Ústí nad Labem. Kočkov,AMS1
Ústí nad Labem. Vaňov,"Ústí nad Labem, Vaňov","Ústí nad Labem, Vaňov",U1ULMA01,14.05831,50.62556,150.0,Ústí nad Labem,Ústí nad Labem. Vaňov,AKS2
Ústí nad Orlicí,Ústí nad Orlicí,Ústí nad Orlicí,H2USTI01,16.422222,49.980278,401.7,Ústí nad Orlicí,Ústí nad Orlicí,AMS1
Valašská Bystřice,Valašská Bystřice,Valašská Bystřice,O3VABY01,18.106298,49.416432,458.0,Valašská Bystřice,Valašská Bystřice,ASS
Valašská Senice,Valašská Senice,Valašská Senice,O3VASE01,18.126944,49.240278,615.0,Valašská Senice,Valašská Senice,AKS2
Valašské Klobouky,Valašské Klobouky,Valašské Klobouky,B1VKLO01,18.015,49.139167,402.0,Valašské Klobouky,Valašské Klobouky,ASS
Valašské Meziříčí,Valašské Meziříčí,Valašské Meziříčí,O3VALM01,17.9742,49.4636,334.0,Valašské Meziříčí,Valašské Meziříčí,AKS2
Varnsdorf,Varnsdorf,Varnsdorf,U2VARN01,14.60222,50.90556,367.0,Varnsdorf,Varnsdorf,AKS1
Vatín,Vatín,Vatín,B2VATI01,15.96806,49.52306,558.0,Vatín,Vatín,AKS1
Vavřinec. Žíšov,"Vavřinec, Žíšov","Vavřinec, Žíšov",P3STAN01,15.067741,49.902888,415.0,Vavřinec,Vavřinec. Žíšov,AKS2
Velichovky,Velichovky,Velichovky,H1VELI01,15.832503,50.356612,299.0,Velichovky,Velichovky,AKS2
Velká Bíteš,Velká Bíteš,Velká Bíteš,B2VBIT01,16.221,49.2918,485.0,Velká Bíteš,Velká Bíteš,ASS
Velká Černoc,Velká Černoc,Velká Černoc,U1VECE01,13.58406,50.20283,329.0,Velká Černoc,Velká Černoc,ASS
Velké Karlovice,Velké Karlovice,Velké Karlovice,O3VEKA01,18.286944,49.359444,518.0,Velké Karlovice,Velké Karlovice,AKS3
Velké Losiny,Velké Losiny,Velké Losiny,O2LOSI01,17.051365,50.038056,411.0,Velké Losiny,Velké Losiny,ASS
Velké Meziříčí,Velké Meziříčí,Velké Meziříčí,B2VMEZ01,16.0086,49.3528,452.0,Velké Meziříčí,Velké Meziříčí,AKS1
Verneřice,Verneřice,Verneřice,U2VERN01,14.30492,50.65789,507.0,Verneřice,Verneřice,ASS
Vidnava,Vidnava,Vidnava,O1VIDN01,17.1917,50.37794,228.0,Vidnava,Vidnava,AKS4
Vimperk,Vimperk,Vimperk,C1VIMP01,13.7825,49.065833,628.0,Vimperk,Vimperk,AKS3
Višňová,Višňová,Višňová,U2PRED01,15.01814,50.96594,248.0,Višňová,Višňová,ASS
Vítkov,Vítkov,Vítkov,O1VITK01,17.757308,49.778037,490.0,Vítkov,Vítkov,AKS2
Vizovice,Vizovice,Vizovice,B1VIZO01,17.84361,49.22297,313.0,Vizovice,Vizovice,AKS1
Vlašim,Vlašim,Vlašim,P3VLAS01,14.894545,49.691749,415.0,Vlašim,Vlašim,AKS4
Vlkonice,Vlkonice,Vlkonice,C1VLKO01,13.5897,49.3022,493.0,Vlkonice,Vlkonice,AKS1
Volary,Volary,Volary,C1VOLR01,13.896111,48.901667,749.0,Volary,Volary,AKS2
Volyně. Nihošovice,"Volyně, Nihošovice","Volyně, Nihošovice",C1VOLY01,13.861111,49.185278,448.0,Volyně,Volyně. Nihošovice,ASS
Voznice,Voznice,Voznice,P1VOZN01,14.212691,49.819169,385.0,Voznice,Voznice,ASS
Vráž,Vráž,Vráž,C1VRAZ01,14.1289,49.3844,433.0,Vráž,Vráž,AKS1
Vrchlabí,Vrchlabí,Vrchlabí,H1VRCH01,15.646389,50.622778,482.0,Vrchlabí,Vrchlabí,AKS1
Vsetín,Vsetín,Vsetín,O3VSET01,17.9961,49.3442,387.0,Vsetín,Vsetín,AKS1
Vysoké nad Jizerou,Vysoké nad Jizerou,Vysoké nad Jizerou,P2VYSK01,15.408523,50.682981,695.0,Vysoké nad Jizerou,Vysoké nad Jizerou,ASS
Vysoké Studnice,Vysoké Studnice,Vysoké Studnice,B2VSTU01,15.7303,49.3931,568.0,Vysoké Studnice,Vysoké Studnice,ASS
Vyšší Brod,Vyšší Brod,Vyšší Brod,C2VBRO01,14.3144,48.6175,559.0,Vyšší Brod,Vyšší Brod,AKS1
Zahrádky,Zahrádky,Zahrádky,U2ZAHR01,14.51467,50.61428,270.0,Zahrádky,Zahrádky,ASS
Zámyšl,Zámyšl,Zámyšl,C1ZAMY01,13.374402,49.22629,800.0,Zámyšl,Zámyšl,ASS
Zbečno,Zbečno,Zbečno,P1ZBEC01,13.935,50.0614,262.0,Zbečno,Zbečno,ASS
Zbiroh. Švabín,"Zbiroh, Švabín","Zbiroh, Švabín",L2ZBIR01,13.751748,49.853987,476.0,Zbiroh,Zbiroh. Švabín,AKS2
Zbýšov. Dobrovítov,"Zbýšov, Dobrovítov","Zbýšov, Dobrovítov",H3ZBYS01,15.329835,49.78686,490.0,Zbýšov,Zbýšov. Dobrovítov,AKS2
Zbytiny,Zbytiny,Zbytiny,C1ZBYT01,13.968889,48.926111,792.0,Zbytiny,Zbytiny,ASS
Zdobnice,Zdobnice,Zdobnice,H2ZDOB01,16.408505,50.247678,671.0,Zdobnice,Zdobnice,ASS
Zlaté Hory,Zlaté Hory,Zlaté Hory,O1ZLHO01,17.3926,50.252778,444.0,Zlaté Hory,Zlaté Hory,AKS4
Zlín,Zlín,Zlín,B1ZLIN01,17.643333,49.236667,283.0,Zlín,Zlín,AKS3
Zlonice,Zlonice,Zlonice,P1ZLON01,14.086873,50.283586,231.0,Zlonice,Zlonice,ASS
Žacléř,Žacléř,Žacléř,H1ZACL01,15.907098,50.661205,644.0,Žacléř,Žacléř,AKS2
Žamberk,Žamberk,Žamberk,H2ZAMB01,16.45477,50.069195,405.0,Žamberk,Žamberk,AKS2
Žandov. Horní Police,"Žandov, Horní Police","Žandov, Horní Police",U2ZAND01,14.403417,50.708083,275.0,Žandov,Žandov. Horní Police,ASS
Žatec,Žatec,Žatec,U1ZATE01,13.54319,50.34147,210.0,Žatec,Žatec,AKS1
Ždánice,Ždánice,Ždánice,B2ZDAN01,17.025556,49.071944,238.0,Ždánice,Ždánice,AKS3
Žďár nad Sázavou. Stržanov,"Žďár nad Sázavou, Stržanov",Žďár nad Sázavou,P3ZDAR01,15.936455,49.597833,605.0,Žďár nad Sázavou,Žďár nad Sázavou. Stržanov,ASS
Železná,Železná,Železná,L2BELA01,12.581084,49.583431,511.0,Železná,Železná,ASS
Železná Ruda,Železná Ruda,Železná Ruda,L1ZRUD01,13.228729,49.138245,754.0,Železná Ruda,Železná Ruda,ASS
Žlutice,Žlutice,Žlutice,L2ZLUT01,13.160412,50.09822,569.0,Žlutice,Žlutice,ASS
