js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Milešovka,Milešovka,Milešovka,U1MILE01,13.93083,50.555,830.5,Milešovka,Milešovka,AMS
Mimoň,Mimoň,Mimoň,U2MIMO01,14.72494,50.65975,278.0,Mimoň,Mimoň,ASS
Mladá Vožice,Mladá Vožice,Mladá Vožice,P3MLVO01,14.808259,49.537459,435.0,Mladá Vožice,Mladá Vožice,ASS
Mokošín,Mokošín,Mokošín,H3MOKO01,15.56668,50.016395,255.0,Mokošín,Mokošín,AKS1
Moravské Budějovice,Moravské Budějovice,Moravské Budějovice,B2MBUD01,15.8067,49.0611,460.0,Moravské Budějovice,Moravské Budějovice,AKS2
Mořkov,Mořkov,Mořkov,O1MORK01,18.057778,49.5414,345.0,Mořkov,Mořkov,AKS3
Mošnov,Mošnov,Mošnov,O1MOSN01,18.112778,49.691944,252.8,Mošnov,Mošnov,AMS
Mrzky,Mrzky,Mrzky,P2MRZK01,14.80731,50.044659,260.0,Mrzky,Mrzky,AKS4
Mšeno,Mšeno,Mšeno,P2MSEN01,14.63399,50.44061,340.0,Mšeno,Mšeno,ASS
Nadějkov. Větrov,"Nadějkov, Větrov","Nadějkov, Větrov",C2NADV01,14.4653,49.5169,616.0,Nadějkov,Nadějkov. Větrov,AKS1
Nalžovské Hory,Nalžovské Hory,Nalžovské Hory,C1NALH01,13.5486,49.3347,495.0,Nalžovské Hory,Nalžovské Hory,ASS
Náměšť nad Oslavou,Náměšť nad Oslavou,Náměšť nad Oslavou,B2NAMO01,16.144155,49.2101581,390.0,Náměšť nad Oslavou,Náměšť nad Oslavou,ASS
Nedrahovice. Rudolec,"Nedrahovice, Rudolec","Nedrahovice, Rudolec",P3NRUD01,14.440088,49.631723,348.0,Nedrahovice,Nedrahovice. Rudolec,AKS1
Nedvězí,Nedvězí,Nedvězí,B2NEDV01,16.3097,49.6344,722.0,Nedvězí,Nedvězí,AKS1
Nejdek,Nejdek,Nejdek,L3NEJD01,12.715486,50.335684,609.0,Nejdek,Nejdek,AKS3
Nemochovice,Nemochovice,Nemochovice,B2NEMO01,17.1361,49.1808,283.0,Nemochovice,Nemochovice,AKS2
Nepomuk,Nepomuk,Nepomuk,L1NEPO01,13.589389,49.486924,471.0,Nepomuk,Nepomuk,AKS1
Netřebice,Netřebice,Netřebice,C2NETR01,14.4561,48.7931,616.0,Netřebice,Netřebice,ASS
Netvořice,Netvořice,Netvořice,P3NETV01,14.521178,49.818411,365.0,Netvořice,Netvořice,AKS4
Neumětely,Neumětely,Neumětely,P1NEUM01,14.037548,49.854272,322.0,Neumětely,Neumětely,AKS1
Nezvěstice,Nezvěstice,Nezvěstice,L1NEZV01,13.528521,49.635765,371.0,Nezvěstice,Nezvěstice,ASS
Nová Bystřice,Nová Bystřice,Nová Bystřice,C2NBYS01,15.1,49.0189,583.0,Nová Bystřice,Nová Bystřice,ASS
Nová Ves,Nová Ves,Nová Ves,B2NOVE01,15.7869,49.2547,422.0,Nová Ves,Nová Ves,ASS
Nová Ves v Horách,Nová Ves v Horách,Nová Ves v Horách,U1NOVE01,13.48561,50.59244,725.0,Nová Ves v Horách,Nová Ves v Horách,AKS1
Nové Heřminovy,Nové Heřminovy,Nové Heřminovy,O1NHER01,17.558457,50.037435,395.0,Nové Heřminovy,Nové Heřminovy,AKS
Nové Hrady,Nové Hrady,Nové Hrady,H3NHRA01,16.1475,49.850201,400.0,Nové Hrady,Nové Hrady,ASS
Nové Město na Moravě,Nové Město na Moravě,Nové Město na Moravě,B2NMES01,16.0689,49.5581,601.0,Nové Město na Moravě,Nové Město na Moravě,ASS
Nové Město pod Smrkem,Nové Město pod Smrkem,Nové Město pod Smrkem,U2NMES01,15.23381,50.92358,473.0,Nové Město pod Smrkem,Nové Město pod Smrkem,ASS
Nový Bor,Nový Bor,Nový Bor,U2NBOR01,14.55719,50.75,358.0,Nový Bor,Nový Bor,ASS
Nový Bydžov,Nový Bydžov,Nový Bydžov,H3NBYD01,15.497443,50.237553,232.0,Nový Bydžov,Nový Bydžov,AKS2
Nový Rychnov,Nový Rychnov,Nový Rychnov,P3NRYC01,15.365095,49.385922,619.0,Nový Rychnov,Nový Rychnov,AKS1
Nýdek. Filipka,"Nýdek, Filipka","Nýdek, Filipka",O1NYFI01,18.788599,49.616676,745.0,Nýdek,Nýdek. Filipka,AKS4
Obora,Obora,Obora,B2OBOR01,16.603611,49.451667,425.0,Obora,Obora,ASS
Olešnice,Olešnice,Olešnice,B2OLES01,16.4166,49.5586,543.0,Olešnice,Olešnice,ASS
Olešnice. Čihálka,"Olešnice, Čihálka","Olešnice, Čihálka",H2OLES01,16.352829,50.374902,740.0,Olešnice,Olešnice. Čihálka,ASS
Olomouc. Holice,"Olomouc, Holice","Olomouc, Holice",O2OLOM01,17.2844,49.5758,210.0,Olomouc,Olomouc. Holice,AKS2
Olší,Olší,Olší,C2OLSI01,14.51,49.436389,495.0,Olší,Olší,ASS
Ondřejov,Ondřejov,Ondřejov,P3ONDR01,14.784964,49.906761,491.0,Ondřejov,Ondřejov,AKS1
Opava,Opava,Opava,O1OPAV01,17.878541,49.928847,268.0,Opava,Opava,AKS2
Orlické Záhoří,Orlické Záhoří - vodárna,Orlické Záhoří - vodárna,H2ORLZ01,16.468455,50.280707,690.0,Orlické Záhoří,Orlické Záhoří,MSS
Orličky,Orličky,Orličky,H2ORLI01,16.667424,50.026453,570.0,Orličky,Orličky,ASS
Orlík nad Vltavou,Orlík nad Vltavou,Orlík nad Vltavou,C1ORLV01,14.1683,49.5036,431.0,Orlík nad Vltavou,Orlík nad Vltavou,ASS
Oskava,Oskava,Oskava,O2OSKA01,17.134781,49.90482,360.0,Oskava,Oskava,ASS
Osoblaha,Osoblaha,Osoblaha,O1OSOB01,17.7135,50.2709,238.0,Osoblaha,Osoblaha,AKS4
Ostrava. Poruba,"Ostrava, Poruba","Ostrava, Poruba",O1PORU01,18.15942,49.825331,240.0,Ostrava,Ostrava. Poruba,AKS1
Ostrava. Slezská Ostrava,"Ostrava, Slezská Ostrava","Ostrava, Slezská Ostrava",O1OSLZ01,18.317553,49.844977,269.0,Ostrava,Ostrava. Slezská Ostrava,AKS4
Pacov,Pacov,Pacov,P3PACO01,15.02348,49.46355,494.0,Pacov,Pacov,ASS
Pardubice. letiště,"Pardubice, letiště","Pardubice, letiště",H3PARD01,15.740273,50.016111,224.21,Pardubice,Pardubice. letiště,AMS
Paseka,Paseka,Paseka,O2PASE01,17.2345,49.7776,271.0,Paseka,Paseka,AKS4
Paseky,Paseky,Paseky,C1PASE01,14.2678,49.2497,482.0,Paseky,Paseky,ASS
Pec pod Sněžkou,Pec pod Sněžkou,Pec pod Sněžkou,H1PECS01,15.728889,50.691944,816.3,Pec pod Sněžkou,Pec pod Sněžkou,AMS1
Petrovice. Krásný Les,"Petrovice, Krásný Les","Petrovice, Krásný Les",U1PEKL01,13.937667,50.767361,631.0,Petrovice,Petrovice. Krásný Les,ASS
Pivoň,Pivoň,Pivoň,L1PIVO01,12.741932,49.490754,619.0,Pivoň,Pivoň,ASS
Planá,Planá,Planá,L2PLAN01,12.735097,49.870952,505.0,Planá,Planá,ASS
Plechý. Trojmezí,Plechý,Plechý,C1PLCHTT,13.851601,48.771198,1344.0,Plechý,Plechý. Trojmezí,TOTAL
Plzeň. Bolevec,"Plzeň, Bolevec","Plzeň, Bolevec",L1PLZB01,13.386411,49.788378,331.0,Plzeň,Plzeň. Bolevec,AKS1
Plzeň. Mikulka,"Plzeň, Mikulka","Plzeň, Mikulka",L1PLMI01,13.378889,49.764722,359.8,Plzeň,Plzeň. Mikulka,AMS1
Počátky,Počátky,Počátky,C2POCA01,15.2342,49.2606,618.0,Počátky,Počátky,AKS2
Poděbrady,Poděbrady,Poděbrady,H3PODE01,15.133554,50.140503,189.0,Poděbrady,Poděbrady,AKS1
Podivice,Podivice,Podivice,B1PODI01,17.003611,49.369444,375.0,Podivice,Podivice,ASS
Pohorská Ves,Pohorská Ves,Pohorská Ves,C2PVES01,14.649167,48.670278,773.0,Pohorská Ves,Pohorská Ves,ASS
Pohořelice,Pohořelice,Pohořelice,B2POHO01,16.5283,48.9844,180.0,Pohořelice,Pohořelice,AKS1
Police nad Metují,Police nad Metují,Police nad Metují,H1POLI01,16.237511,50.537805,446.0,Police nad Metují,Police nad Metují,ASS
Polička,Polička,Polička,B2POLI01,16.269167,49.716111,552.0,Polička,Polička,ASS
Pomezní boudy. Horní Malá Úpa,"Pomezní boudy, Horní Malá Úpa",Pomezní boudy,H1POMB01,15.82027,50.745472,1050.0,Pomezní boudy,Pomezní boudy. Horní Malá Úpa,ASS
Potštát. Boškov,"Potštát, Boškov","Potštát, Boškov",O3POTB01,17.6142,49.6238,545.0,Potštát,Potštát. Boškov,AKS4
Praha. Břevnov,"Praha, Břevnov","Praha, Břevnov",P1PBRE01,14.352689,50.080843,355.0,Praha,Praha. Břevnov,ASS
Praha. Chodov,"Praha, Chodov (PVS)","Praha, Chodov",P1PCHO01,14.5,50.0294,297.0,Praha,Praha. Chodov,MSS
Praha. Karlov,"Praha, Karlov","Praha, Karlov",P1PKAR01,14.427778,50.069167,260.5,Praha,Praha. Karlov,AMS1
Praha. Kbely,"Praha, Kbely","Praha, Kbely",P1PKBE01,14.538056,50.123333,284.5,Praha,Praha. Kbely,AMS
Praha. Klementinum,"Praha, Klementinum","Praha, Klementinum",P1PKLE01,14.416923,50.086634,190.7,Praha,Praha. Klementinum,AKS4
Praha. Komořany,"Praha, Komořany","Praha, Komořany",P1PKOM01,14.40636,49.9886,213.0,Praha,Praha. Komořany,AKS4
Praha. Libuš,"Praha, Libuš","Praha, Libuš",P1PLIB01,14.446944,50.007778,302.04,Praha,Praha. Libuš,AMS1
Praha. Ruzyně,"Praha, Ruzyně","Praha, Ruzyně",P1PRUZ01,14.255556,50.100278,364.0,Praha,Praha. Ruzyně,AMS
Praha. Vinohrady - Flora,"Praha, Vinohrady - Flora","Praha, Vinohrady - Flora",P1PVIN01,14.46186,50.07584,280.0,Praha,Praha. Vinohrady - Flora,AKS2
Prostějov,Prostějov,Prostějov,B1PROS01,17.134722,49.4525,214.75,Prostějov,Prostějov,AMS
Protivanov,Protivanov,Protivanov,B1PROT01,16.83105,49.47782,675.0,Protivanov,Protivanov,AKS1
Průhonice,Průhonice,Průhonice,P1PRUH01,14.561121,50.007829,312.0,Průhonice,Průhonice,AKS4
Přebuz,Přebuz,Přebuz,L3PREB01,12.615467,50.37246,904.0,Přebuz,Přebuz,AKS4
Přerov,Přerov,Přerov,O3PRER01,17.458889,49.464444,210.0,Přerov,Přerov,AKS4
Příbram,Příbram,Příbram,P1PRIB01,14.022433,49.694602,555.0,Příbram,Příbram,AKS1
Přibyslav. Hřiště,"Přibyslav, Hřiště","Přibyslav, Hřiště",P3PRIB01,15.763055,49.582785,532.5,Přibyslav,Přibyslav. Hřiště,AMS1
Přimda,Přimda,Přimda,L2PRIM01,12.678056,49.669444,742.76,Přimda,Přimda,AMS1
Radostín,Radostín,Radostín,B2RADO01,15.9675,49.460278,512.0,Radostín,Radostín,ASS
Radošice,Radošice,Radošice,C1RADO01,13.7272,49.5322,570.0,Radošice,Radošice,ASS
Radovesnice II.,Radovesnice II.,Radovesnice II.,H3RADO01,15.368164,50.106526,227.0,Radovesnice II.,Radovesnice II.,AKS2
Rakovník,Rakovník,Rakovník,L2RAKO01,13.738651,50.099245,313.0,Rakovník,Rakovník,ASS
Rokycany,Rokycany,Rokycany,L2ROKY01,13.582576,49.73725,370.0,Rokycany,Rokycany,ASS
Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,Rokytnice v Orlických horách,H2ROKY01,16.460258,50.164432,577.0,Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,AKS1
Ropice,Ropice,Ropice,O1ROPI01,18.6125,49.6975,327.0,Ropice,Ropice,AKS3
Roprachtice,Roprachtice,Roprachtice,P2ROPR01,15.414138,50.651199,550.0,Roprachtice,Roprachtice,ASS
