Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,2.2,0.9,1,0.8,1.3,0.5,0,0.8,1,0.5,1.5,1,2,1.3,2.3,1.3,1.7,0.4,0.5,0.2,0.3,0.3,0.2,0.4
Blatný vrch,0.2,0,0.2,0.3,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0
Plechý,0.7,0.9,0.5,1,1,0,0,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0.1,0,0,0,0,0,0
"Boubín, vrchol",0.2,0.3,0,0.1,0,1,0,0,0.2,1,0.5,0.2,0.1,0.2,0,0.1,0.1,0,0,0,0,0,0.1,0
Šerák,0,3,3.2,5.8,4.6,4.7,1.1,3.6,9.2,6.6,5.4,5.2,2.7,4.7,4.2,4.2,4.2,5.9,2.6,1.8,1.1,0.4,0.4,1.8
Lysá hora,0,0,0,0.3,0.1,0,0,0,0.2,0.6,1.5,4.1,2.1,0.3,0.2,0.4,0.9,1.7,0,0,0.3,0.7,0.3,0.2
Labská bouda,2.5,0.8,1.1,0.5,1,0.5,0.1,1.1,1.1,0.6,1.3,2.4,1.7,1.5,1,1.1,1.9,1.7,0.9,1.3,2,1.9,2.2,2.6
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",0,0,0.4,1.2,0.5,1.7,1.4,0.3,0.9,1.2,0.8,1.8,0.9,0.1,0,0.2,0.3,0.2,0.1,0,0.1,0,0.1,1.5
Churáňov,0,0.1,0,0.3,0.1,0.9,1.5,0.2,0.6,2.1,1.8,2.5,1.2,0.1,0,0.3,0.4,0.2,0.1,0.3,0.8,0.1,0,0
Dvoračky,2.9,0.4,1,0.6,1.8,0.7,0.1,1.3,1.1,0.8,0.8,1.3,0.9,0.6,0.9,0.9,1.6,0.8,0.8,1.6,2.6,2.8,1.9,1.9
Filipova Huť,0,0,0,0.4,0.3,1.7,1.2,0.1,0.8,2,1.5,2.1,1.2,0,0,0.1,0.1,0.3,0.1,0.4,0.2,0,0,0.3
"Horská Kvilda, u Hamerského potoka",0.1,0,0,0.7,0.1,1.2,1.2,0.2,0.8,1.7,1.5,1.6,1.4,0.9,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0,0,0.2
"Pomezní boudy, Horní Malá Úpa",1.4,0.2,0.5,0.5,0.2,1.2,0,0.3,1.3,0.4,2.9,3.6,2.4,2.9,3.1,1.7,1.5,0.9,0.7,0.9,1.3,1.5,0.8,0.3
"Bělá pod Pradědem, Červenohorské sedlo",0,0.8,1.1,2.9,2.3,5,0.8,4.2,9.2,5.9,5.7,3.8,2.2,3.6,2.8,2.7,3,2.7,2,1.9,1.2,0.6,0.5,1
"Staré Město pod Sněžníkem, Paprsek",0,0.5,2,2.8,1.4,3,0.1,2.1,3.3,5,5.8,5.2,2.8,4.8,4,3.5,4,4.8,3.1,1.5,0.8,0.4,0.1,0.3
Kubova Huť,0,0.2,0.1,0.1,0.1,1.4,2.4,0.3,1.1,1.1,1.8,2.3,1.3,0.4,0,0,0,0.1,0.1,0.1,0.1,0,0,0
Špičák,0,0,0,0,0,0.4,0.7,0.5,1.9,2.5,1.8,1,0.3,0,0.2,0,0.3,1,0.3,0.4,0,0.1,0.1,1.3
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
