Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0.4,0,0,0,0.5,0,0.1,0,0.5,1,1.5,2,0.8,0.2,1.7,0.6,1.1,3.4,1.3,0.3,0.7,1.1,1.8
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,1.2,0.5,0.1,0.1,0,0,0,0,0.1,0,0.4
Blatný vrch,0,0,0,0,0,0,0,0.6,0,0.1,0.3,0.2,0,0.3,1.8,1,0.2,0.8,3.1,2.7,1.5,1.1,0.2,0.7
"Boubín, vrchol",0,0,0,0,0,0,0.3,0.6,0.2,0.3,0.4,0.2,0.4,0.6,0.7,0.8,0.3,0.3,0.4,0,0.1,1.5,0.7,0.2
Plechý,0,0,0,0.1,0,0,0.4,0.5,0.3,0.7,0.7,0.3,0.7,1.7,1.2,1.2,0.6,0.9,0.7,0.2,2.9,2.4,1,1.3
Šerák,0,0.1,0,0,0.3,0.1,0,0,0,0,0.4,1.3,1.3,0.5,0.7,1.2,1.1,2.8,3.6,1.1,0.8,0.8,1.6,1.8
Lysá hora,0,0.1,0,0,0.1,0.5,0.6,0.3,0.7,1.2,0.8,1.8,2.8,0.8,1.1,0,0,0,0.4,0.6,1.1,0,0.2,0.1
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.8,0.5,0.2,0.1,0.1,0,0,0,0,0,0.1
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.2,0,0,0.3,0.6,0.7,0.5,0.3,0.1,0.9
"Bučina, u Kvildy",0,0,0,0,0,0,0,0.3,0,0.1,0.3,0.1,0.1,0.2,0.5,0.4,0.1,0.4,0.4,0.5,0.5,1.2,0.3,0.3
Churáňov,0,0,0,0,0,0,0,0.7,0,0.1,0.3,0.2,0,0.2,0.3,0.5,0.1,0.2,0.3,0.1,1.1,0.9,0.4,0.2
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.7,0.4,0.2,0.8,0.4,0.1,0,0.1,0,0,0.2
Filipova Huť,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0.2,0.5,0.5,0.1,0.4,0.8,0.5,1.3,1.4,0.4,0.3
"Dolní Morava, Slaměnka",0,0,0,0,0.2,0,0,0,0,0,0.1,1.1,0.2,0.8,0.7,0.3,1.6,2.5,2.7,1,0.8,0.7,0.6,0.9
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0.6,0,0.1,0.3,0.1,0,0.1,0.4,0.5,0.1,0.3,0.4,0.2,0.9,1.2,0.5,0.3
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0.3,1.3,1.4,0.8,0,0,0,0,0.1,0,0,0,0.1
"Bělá pod Pradědem, Červenohorské sedlo",0,0.5,0,0,0.1,0.3,0,0.1,0,0,0.5,1.1,1.1,0.6,0.6,1.3,0.6,1.6,3.8,1,1.3,0.8,1.4,1.5
"Hejnice, Smědavská hora",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.7,0.2,0.1,0.1,0,0,0,0.8
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0.2,0,0,0,0,0,0.2,1,0.9,0.5,0.6,0.9,1,2.3,3.3,1.2,0.4,0.7,0.8,1.1
Kubova Huť,0,0,0,0,0,0,0.3,0.5,0.1,0.1,0.4,0.1,0.3,0.6,0.6,0.7,0.2,0.3,0.2,0,0,0.9,0.8,0.1
"Josefův Důl, Rozmezí",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.9,0.3,0.6,0.2,0.2,0.2,0,0,0,0.7
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.1,0.7,0.2,0.1,0.2,0,0,0,0.5
Špičák,0,0,0,0,0,0,0,0,0.2,0.1,0.1,2.4,0.3,1.2,0,0.4,0.7,1,1.9,1.2,0.7,0.6,0.4,0.7
"Kořenov, Lasičí",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.4,0.2,0,0.1,0,0,0,0.3
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0,0,0.5,0
"Kořenov, Jizerská cesta",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.6,0.2,0,0.2,0,0,0,0.3
"Bílý Potok, U Jeřábu",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.9,0.2,0,0.2,0,0,0,0.5
"Hejnice, Kasárenská",,,,,,,,,,,,,,,,,,,,,,,,
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.3,0.3,0,0.8
Pohoří na Šumavě,0.6,0,0,0,0,0,0,0.6,0.1,1.2,2.4,0.6,0.2,0,1.2,0.8,1,0.4,1.2,1,0.8,1.6,1,1.3
Borová Lada,0,0,0,0,0,0,0,0.3,0.1,0,0.4,0.2,0,0.2,0.4,0.5,0.1,0.2,0.2,0.1,0.2,0.8,0.4,0.2
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.1,0.1,0.1,0.2,0,0.6
Prášily,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0.3,0.4,0.3,0.2,0.8,1.1,0.6,0.7,0.9,0.3,0.5
"Bedřichov, Olivetská hora",0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0.8,0.2,0.4,0.2,0.1,0.1,0,0,0,0.5
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0,0,0,0,0,1.2,2.1,0,0.2,0.1,0,0.3,1.1,1.6,1.2,0.3,0.3,0.2,0.6
Hojsova Stráž,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0.1,0.4,0,0.3,0.7,1.4,1.9,0.7,0.7,0.6,0.1,0.3
"Kořenov, Jizerka",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.2,0,0,0,0,0,0.3
"Kynžvart, Lazy",0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.3,0,0.1,0,0.1,0.1,0.2,0.1,0.4,0.2,0
"Bílý Potok, Smědava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.7,0.3,0,0,0,0,0,2.3
Milešovka,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,3.4,5.3,1.4,0.8,0.2,0.4,0.1,0.3
Měděnec,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0.5,0.1,0.2,0.9,0.5,0.1,0.4
"Staré Hutě, Hojná Voda",1,0.1,0,0,0,0,0,0.5,0.5,1.4,3.2,0.6,0,0.1,1.7,1.3,1,0.4,0.8,0.9,0.4,1.3,1.5,1.1
Pec pod Sněžkou,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,1.2,0.4,0,0,0.2,0,0,0,0.2,0,0
Strážný,0,0,0,0,0,0,0.5,0.8,0.2,0.1,0.4,0.1,0.1,1,0.7,0.7,0.4,0.3,0.2,0.3,0,1.1,0.6,0.2
"Bedřichov, Tomšovka",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,1.1,0.2,0.5,0.2,0.1,0.1,0,0,0,0.5
