Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0,0,0.2,0.8,0.6,0.3,0,0.1,0,0,0,0,0,0.5,0.5,1.1,1.2,0.8,0.6,0.8,0.8,0.4,0
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.3,0,0,0.4,0.3
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0.4,0.6,0.2,0,0,0.1,0,0,0,0,0.7,0.9,1,1.8,1,0.6,1,1.1,0.5,0
Lysá hora,0.1,0,0.4,0.8,0.3,1,0.6,0.9,0.7,0.3,0.3,0.2,0,0,0,1.5,1.6,1.9,2.2,1.9,1.6,1.2,0.6,0.5
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0.4,0.4,0.3,0.4,0.3
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.3
"Bučina, u Kvildy",0.3,0.1,0,0,0.1,0.2,0.2,0.5,0.5,0,0.2,0.8,0.8,0.8,0.3,0.4,0,0,0,0,0,0,0,0
Churáňov,0.2,0.1,0,0,0,0.1,0.1,0.4,0.5,0.2,0,0.7,0.6,0.5,0.3,0.2,0,0,0,0,0.2,0.6,0.5,0.4
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.1,0,0.3,0.2,0.3,0.2
Filipova Huť,0,0.2,0,0,0,0.2,0.2,0.2,0.5,0.2,0.1,0.6,0.8,0.6,0.2,0.1,0,0,0,0,0.3,0.5,0.5,0.3
"Dolní Morava, Slaměnka",0,0,0,0,0.6,0.9,0.1,0,0,0,0.1,0,0,0,0.4,0.7,0.9,1,0.7,0.4,0.5,0.6,0.1,0.1
"Horská Kvilda, u Hamerského potoka",0,0.1,0,0,0.1,0,0,0,0,0,0,0.2,0.8,0.6,0.4,0.2,0,0,0,0,0,0,0,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0.3,0.2,0.3,0.3,0.3,0.1,0,0.2,0.8,0.5,0.3,0.7,1,0.8,0.8,0.8,0.5
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0.5,0.9,0.3,0,0,0,0,0,0,0,0.5,0.5,0.9,1.1,0.4,0.4,0.4,0.5,0.2,0.1
"Hejnice, Smědavská hora",,,,,,,,,,,,,,,,,,,,,,,,
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0.8,1,0.3,0,0,0,0.1,0,0,0,0.4,0.7,0.9,1.4,0.7,0.4,0.5,0.5,0.1,0.1
Kubova Huť,0.6,0.6,0.1,0.2,0,0.5,0.2,0.2,0.8,0.2,0,0.4,0.5,0.4,0.2,0.1,0,0,0,0,0,0,0.2,0
"Josefův Důl, Rozmezí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",,,,,,,,,,,,,,,,,,,,,,,,
Špičák,0,0,0.2,0,0,0.2,0.1,0.1,0.5,0.5,0.1,0.5,0.8,0.2,0.2,0,0,0,0.1,0.1,0.1,0.2,0,0.1
"Kořenov, Lasičí",,,,,,,,,,,,,,,,,,,,,,,,
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerská cesta",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, U Jeřábu",,,,,,,,,,,,,,,,,,,,,,,,
"Hejnice, Kasárenská",,,,,,,,,,,,,,,,,,,,,,,,
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
Borová Lada,0.4,0.2,0,0,0,0.6,0.3,0.3,0.6,0.1,0.1,0.4,0.8,0.5,0.4,0.1,0,0,0.1,0,0,0,0,0
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1
Prášily,0,0,0.1,0,0,0,0.2,0.1,0.2,0.5,0.2,0.4,0.9,0.7,0.5,0.3,0.1,0,0,0,0,0.4,0.1,0
"Bedřichov, Olivetská hora",,,,,,,,,,,,,,,,,,,,,,,,
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0.8,0.4,0.4,0.6,0.4,0.6,0.5,0.4,0.1
Hojsova Stráž,0,0,0,0,0,0,0,0.2,0.5,0.4,0.2,0.5,0.7,0.4,0.3,0.1,0,0,0.2,0.1,0.2,0.4,0,0
"Kořenov, Jizerka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.1,0.2,0.1,0.2,0.1
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Smědava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.2,0.4,0.4,0.4,0.4,0.4
Milešovka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Měděnec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Hutě, Hojná Voda",1.4,1,0.6,0.9,0.5,0.5,0.1,0,0.1,0,0.2,0.6,0.7,0.6,0.2,0.1,0.3,0.6,0.5,0.2,0.2,0.3,0.3,0
Pec pod Sněžkou,0,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.5,0,0,0.3,0,0.4,0.1,0.1,0.1,0,0,0.2,0.1
Strážný,0.6,0.5,0.1,0.1,0.1,0.3,0.3,0.3,0.8,0.2,0.2,0.6,0.7,0.3,0.2,0.1,0,0,0,0,0,0,0,0
"Bedřichov, Tomšovka",,,,,,,,,,,,,,,,,,,,,,,,
"Jelení, Nová Pec",0.8,0.6,0.3,0.1,0.4,0.6,0,1,0.5,0.1,0.4,0.5,0.9,0.3,0,0,0,0,0,0,0,0,0,0
Klíny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Zámyšl,0,0,0,0,0,0.1,0,0,0.3,0.2,0.1,0.1,0.7,0.7,0.3,0,0,0,0.1,0,0,0,0,0
Karlova Studánka,0,0,0,0.2,0.8,0.5,0.2,0,0,0,0,0,0,0,0.3,0.6,1,1.4,0.9,0.7,0.5,0.9,0.4,0.2
Zbytiny,0.7,0.8,0.3,0.2,0.5,0.4,0.1,0.5,0.9,0.1,0.1,0.3,0.8,0.3,0.2,0,0,0,0,0,0,0,0.3,0
"Bedřichov, Nová louka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.3,0.3,0.4,0.3
"Bedřichov, Uhlířská",,,,,,,,,,,,,,,,,,,,,,,,
Bedřichov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.1,0.4,0.3,0.3,0.3
"Kořenov, Jezdecká",,,,,,,,,,,,,,,,,,,,,,,,
Pohorská Ves,1.4,1,0.7,0.9,0.7,0.5,0.1,0,0,0.2,0.4,0.7,0.8,0.6,0.2,0.2,0.1,0.6,0.5,0.2,0.4,0.2,0.1,0
"Desná, Souš",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.3,0.3,0.3,0.2,0.2
