Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0.2,0.6,0.8,0.5,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0.2,0.1,0,1.3,2.7,3.8,3.2,2.1,0.5,0.2,0.5,0.5,0.5,0.2,0.3,0.2,0.1,0,0
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.2,0,0.5,0,0.1,1,1.6,1,1.4,1.2
Labská bouda,0,0,0,0,0,0,0.2,2,3.9,4,3,1.7,1.1,0.9,0.9,0.7,1.3,1.3,0.6,0.3,0.1,0,0,0
Klínovec,0,0,0,0.2,0.3,1.7,0.8,0.7,0.7,0.9,1.2,0.8,0.8,0.8,0.2,0.5,0.7,0.9,1.8,2.6,0.8,1.5,0.7,0.9
"Bučina, u Kvildy",0,0,0.3,0,0,1.9,4.7,5.3,2.5,0.9,1.6,2.3,1,1.3,1,0.6,1.1,1.6,1.6,1.8,0.7,0.2,0,0
Churáňov,0,0,0,0,0.1,1.1,2,3.9,1.2,0.6,1.5,0.5,0.5,1.2,1,0.9,0.8,0.8,0.7,1.1,1.1,3.3,0.4,0.3
Dvoračky,0,0,0,0,0,0,0.4,2.1,3.5,3.7,2.9,1.2,1.1,1.2,0.9,0.9,0.8,0.8,0.8,0.3,0.2,0.2,0.4,0.1
Filipova Huť,0,0,0,0,0.1,1.5,3.2,3.5,1.6,0.8,1.5,0.6,1.3,1.6,1.5,1.2,1.1,1.4,1.8,2.3,1.6,1.1,0.7,0.4
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0.1,0.1,0.2,3.7,1.7,1.4,0.6,0.4,0.8,0.3,0.2,0,0.1,0,0,0.1,0,0,0,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0.2,0.6,1.1,0.9,0.8,0.2,0,0,0,0.2,0,0,0,0,0,0,0
