Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0.8,0.6,0.4,0.7,0.1,0.1,0,0.2,0.4,0.5,1.8,0.2,0,0.2,0.3,0.2,0.3,0.5,0.5,0.8,1.2,1.2,0.3,0.1
Luční bouda,0,0,0,0,0,0,0,0.1,0.1,0,0,0.4,0.3,0.5,0.2,0.7,0.6,2.8,2.9,1.6,0.4,0,0.1,0.7
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.1,0,0,0,0,0,0,0,0.2,0.2,0.3,0.1,0.3,0.1,0.4,0.1,0.4,0.4,0.6,1.8,2,0.9,0,0
Lysá hora,0.6,0,0,0,0,0,0,0,0,0.1,0.7,0,0.1,0,0.5,0.5,0.5,1,1.5,1.1,1.3,0.8,0.7,1.1
Labská bouda,0,0,0,0.1,0.4,0.8,0.4,0.6,1.4,0.4,1.1,2.6,2.3,2.2,1.8,2.8,2.3,3.7,4.7,4.9,2.3,1.5,0.9,3.5
Klínovec,0.4,0,0.1,0.2,0.4,0.6,0.9,0.3,0.2,0,0,0.5,0.4,0.1,0.2,1.1,1.6,1.9,1.3,0.7,1.2,1.7,1.6,1.6
"Bučina, u Kvildy",0.1,0.1,0.2,0.1,0.1,0.4,0.4,0.7,0.6,0.3,0,0,0,0,0.9,0.3,0.4,0.5,0,0.7,0.8,1.6,1.4,0.8
Churáňov,0.1,0.1,0.1,0,0,0,0.1,0.1,0.5,0.2,0.1,0,0,0.1,0.5,0.1,0.1,0.2,0.1,0.2,0.2,0.5,0.9,0.3
Dvoračky,0,0,0,0.2,0.5,0.6,0.3,0.8,0.9,0.7,1,2.4,1.5,1.8,1.8,2,2.3,3.6,4.3,3.6,2,1,0.8,2.1
Filipova Huť,0.1,0.2,0.2,0,0.2,0.3,0.5,0.5,0.5,0.2,0,0,0,0.1,0.7,0.2,0.9,0.6,0.1,0.7,1.1,1.4,1.1,0.9
"Dolní Morava, Slaměnka",0.5,0,0,0,0,0,0.2,0.1,0.5,0.3,0.8,0.4,0.4,0.3,0.2,0.2,0.4,0.7,0.3,0.5,0.3,0.8,0.5,0.1
"Horská Kvilda, u Hamerského potoka",0.6,0.8,1.3,1.5,1.6,1.6,1.7,0.9,0.3,0.3,0.4,0.3,0,0,0.1,0.1,0.2,0.4,0.1,0.3,0.1,0.4,0.5,0.2
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.1,0,0.1,0,0.1
"Bělá pod Pradědem, Červenohorské sedlo",0.7,0.2,0,0,0,0,0,0.2,0.3,0.1,0.6,0.3,0.4,0.2,0.6,0.3,0.6,0.8,1.1,1.6,1.8,1,0.3,0
"Hejnice, Smědavská hora",,,,,,,,,,,,,,,,,,,,,,,,
"Staré Město pod Sněžníkem, Paprsek",0.1,0,0,0,0,0,0,0,0.4,0.1,0.4,0.1,0.3,0.1,0.4,0.1,0.9,0.7,0.4,1.4,1.7,0.4,0,0
Kubova Huť,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0,0,0,0.4,0,0.3,0.5,0.2,0.1,0.1,0.1,0.2,0.1
"Josefův Důl, Rozmezí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",,,,,,,,,,,,,,,,,,,,,,,,
Špičák,1,0.9,0.1,0,0.6,0.9,0.9,1.2,3.3,1.4,0.3,0.2,0.1,0.7,1.3,0.6,1.5,0.1,0.4,1,2.5,4.8,3.7,4.8
"Kořenov, Lasičí",,,,,,,,,,,,,,,,,,,,,,,,
Dyleň,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.2,0.9
"Kořenov, Jizerská cesta",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, U Jeřábu",,,,,,,,,,,,,,,,,,,,,,,,
"Hejnice, Kasárenská",,,,,,,,,,,,,,,,,,,,,,,,
Přebuz,0.7,0,0,0.3,0.3,0.3,0.3,0.3,0.1,0.2,1.2,1.1,0.2,0.3,0.7,2.3,3,2.8,1.7,1.8,2.8,2.6,3.5,1.6
Borová Lada,0,0,0,0,0,0,0.1,0,0.1,0.3,0,0,0,0,0.3,0.2,0.3,0.4,0,0.1,0.4,0.5,1.1,0.3
Abertamy,0.5,0,0,0,0.6,0.2,0.4,0.3,0.1,0.1,0.4,1,0.2,0.3,0.3,1.3,2.4,2.4,1.4,1,1.8,0.9,2.6,2
Prášily,0.6,0.7,0.2,0,0.1,0.8,1.1,1.9,1.7,0.9,0,0,0.1,0.4,1.6,0.4,0.8,0.4,0.4,1.1,2.5,3.3,2.5,1.8
"Bedřichov, Olivetská hora",,,,,,,,,,,,,,,,,,,,,,,,
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0,0.8,0.8,0.3,1.2,1.3,0.7,0.8,0.7,2.5,3.2,2.6,1.6,2.4,3.3,1.2,2.7,2.3,1.8
Hojsova Stráž,0.3,0.1,0,0,0.1,0.2,0.1,1.1,2,0.6,0.2,0.1,0.1,0.3,0.6,0.1,0.2,0,0.3,0.5,1,2.2,1.5,1.9
"Kořenov, Jizerka",0,0,0,0.2,0.7,0.3,0.3,0.7,1,0.6,1,2,1.7,1.4,0.9,2.4,2.5,3.1,4.1,3.6,0.2,0.4,0.7,2.2
"Kynžvart, Lazy",0.3,0,0,0,0,0.2,0.1,0.1,0,0,0,0.2,0.2,0.4,0,0.1,0.9,0.8,0.3,0.9,0.9,0.3,0.8,1.8
"Bílý Potok, Smědava",0,0,0,0.2,0.4,0.3,0,0.7,0.5,0.3,0.5,0.9,0.9,1,0.4,1.5,1.7,2.8,2.3,1.3,0,0.1,0.8,1.4
Milešovka,0.1,0,0,0,0,0.1,0.1,0,0.1,0.2,0,0.1,0,0.1,0.3,0.6,0.2,0.4,0.1,0,0.1,0,0,0.3
Měděnec,0.8,0,0,0.1,0,0.7,0.2,0.4,0.1,0,0.5,1.5,0.6,0,0.4,0.5,0.8,1,0.9,0.3,0.4,1.3,0.7,1
"Staré Hutě, Hojná Voda",0,0.1,0.4,0.1,0,0,0,0.2,0,0.5,0.4,0,0,0,0,0.8,0.6,0,0,0,0.3,1.3,1.6,0.2
Pec pod Sněžkou,0.2,0,0,0,0.3,0.3,0.3,0.2,1.6,0.7,0.8,1.8,0.9,1,1.1,1.5,2,3.6,4.6,3.8,1.2,0.6,0.6,1.6
Strážný,0,0.1,0,0,0.2,0.2,0.5,0.4,0.6,0.3,0,0,0,0,0.5,0.2,0.3,1.1,0.1,0.6,0.5,0.8,0.9,1
"Bedřichov, Tomšovka",,,,,,,,,,,,,,,,,,,,,,,,
"Jelení, Nová Pec",0,0.1,0,0,0,0,0.4,0.2,0.2,0.1,0,0,0,0,0.3,0.2,0,0.1,0.1,0.1,0.4,0.7,0.3,0.4
Klíny,0.7,0.9,0.4,0.2,0.7,1.5,0.9,0.1,1.2,0.2,0.3,0.7,0,0.6,1.9,1.9,1.5,1.7,1.2,0.2,0.8,0.1,1.3,0.2
Zámyšl,0.2,0,0,0,0,0,0,0.3,0.8,0.2,0,0,0,0,0.6,0,0,0,0,0.1,0.1,0.7,0.2,0.1
Karlova Studánka,0,0.2,0,0,0,0,0,0,0.2,0,0.1,0.1,0.1,0,0.1,0,0.2,0.4,0.4,0.7,1.1,0.3,0.1,0
Zbytiny,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.3,0.1,0,0,0.1,0,0.1
