Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0.4,0.2,0.5,0.4,1.3,0.1,0,0,0,0,0,0,0.1,0.4,0.7,0.5,0.7,1.2,2
Blatný vrch,0.1,0,0.4,1,1.4,1.2,1.3,0.9,1,4,5.7,0.2,0.1,0,0.2,9,4.2,1.3,0.2,0.1,0,0.1,0,0
"Boubín, vrchol",0.1,0,0,0.6,1.1,1,0.1,0.6,0.1,1,1,0.5,0,0.1,0,4.1,3.7,0.6,0.4,0.2,0.7,0.1,0,0
Plechý,0,0,0,0.6,0.7,1.3,0.3,0.1,0.3,1.2,0.7,0.4,1.1,0,0,0,0,0,0.7,0.1,0,0.3,0,0
Šerák,0.3,0.2,0,0,0,0,0,0.9,0.9,0.4,0.1,0.2,0,0.2,0.1,0,0,0,0,0.7,0.1,0,0,0
Lysá hora,0,0,0,0,0,0,0,0,0,0,1,2.2,2.1,0.4,0.2,0,0.6,2.4,2.6,2.7,0.7,0.5,0.4,0
Labská bouda,0,0,0,0,0.1,0.6,1.6,1,1.1,2.6,0,0.1,0,0,0,0,0,0.1,1.1,1.1,1.6,2.1,3.9,1.7
Klínovec,0,0,0,0,1.1,2.3,1.8,1.9,0.4,0,0.5,0,0,0,0,1.6,0,0.3,0.7,0,0,0,0.1,0.3
"Bučina, u Kvildy",0,0,0.6,1.1,1.4,1,0.4,1.2,1.4,2,3.3,0.2,0.4,0,0,5,1.6,0.8,0.1,0,0.2,0,0,0
Churáňov,0,0,0.6,1,1.4,1.1,0.2,0.2,0.1,1.8,2.7,0,0.1,0,0,2.2,1.3,0.9,3.5,1.2,0.6,0.1,0,0
Dvoračky,0,0,0,0,0.2,0.8,1.4,0.8,1.2,2.8,0.1,0.1,0,0,0,0,0,0,0,0.2,0.2,0.9,1.7,0.6
Filipova Huť,0,0,0.4,1.2,1.7,1.5,0.2,0.6,0.3,2.1,2.3,0.2,0,0,0,2.1,2,2.1,0.3,0.1,0,0,0.2,0
"Horská Kvilda, u Hamerského potoka",0,0,0.7,1.2,1.5,1.2,0.3,0.4,0.2,2,2.1,0.1,0.1,0,0,2.2,1.8,2,0.8,0.6,0.7,0,0.1,0
