Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0.4,0.2,0,0,0,0,0,0.3,0.2,0.3,0.1,0,0,0,0,0.1,0,0,0.5,0.5,0.1,0
Lysá hora,0,0.1,0.1,0.2,1.6,0.8,0.4,0,0,0,0.2,0,0.1,0.2,0,0.2,0.1,0,0,0,0,0.7,0.9,0.5
Labská bouda,0.6,0.7,0.5,0.3,0.5,0.5,0.4,1.3,1.3,1.2,1,0.8,0.4,0.5,0,0.3,0.4,0.6,1.1,1.4,1.1,0.7,0.5,0.2
Klínovec,1.2,1,1.1,0.8,0.9,0.8,0.2,0.2,0,0,0,0,0,0,0,0,0.4,0.5,0.8,0.5,0.9,1.5,0.2,0
"Bučina, u Kvildy",0,0,0,0,0,0.4,0.3,0,0,0.2,0,0,0.3,0,0,0,0,0.3,0.2,0.3,0.1,0.1,0.3,0.2
Churáňov,0,0,0,0,0.1,0.3,0.7,0.2,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0
Dvoračky,1.3,1.3,1.1,1,0.8,1.1,0.8,2.4,2.7,1.9,1.5,1.4,0.6,0.4,0,0.2,0.5,0.7,1.3,1.8,1.6,1.6,1.2,1.1
Filipova Huť,0,0,0,0,0,0.3,0.3,0,0.2,0.2,0.1,0,0,0,0,0,0.5,0.5,0.6,0.5,0.5,0.2,0.6,0.2
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomezní boudy, Horní Malá Úpa",0,0.1,0.1,0,0,0.1,0,0.1,0.1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",0.1,0,0.4,0.3,0,0.2,0,0.3,0,0.5,0.6,0.8,0.4,0,0.1,0.1,0.2,0,0,0.1,0.5,0.3,0.1,0.1
"Staré Město pod Sněžníkem, Paprsek",0,0,0.3,0.1,0.1,0.1,0,0,0,0.3,0.2,0.6,0.1,0,0.1,0,0,0.1,0,0.1,0.8,0.3,0,0.1
Kubova Huť,0,0,0,0,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
Špičák,0.1,0,0,0,0.2,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.4,0.4,0.2,0.5,0.7,0.6,0.7,0.1
Dyleň,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.1,0,0
Přebuz,0.9,0.1,0.6,0.6,0.6,0.4,0.2,0.4,0,0.2,0,0.1,0.1,0,0,0,1.2,1.6,0.7,0.3,1.3,0.6,0.5,0.3
Borová Lada,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Abertamy,0.4,0.4,0.4,0.3,0.2,0.2,0,0.1,0.1,0,0,0,0,0.1,0,0,0.4,0.9,0.9,0.2,1,0.6,0.2,0.2
Prášily,0,0,0.3,0.2,0.2,0.5,0.4,0.2,0.1,0.2,0,0,0.3,0,0,0,0.3,0.5,0.5,0.7,1.2,0.7,2.5,0.5
"Luisino údolí, Deštné v Orlických horách",0.1,0.4,0.5,0.1,0.5,0,0.1,0.3,0.2,0.4,0.3,0.1,0.3,0.3,0.9,0.3,0.1,0,0.1,0.4,1.3,0.9,0.1,0.3
Hojsova Stráž,0,0,0,0,0.2,0.6,0.1,0.1,0,0,0.2,0,0,0,0,0,0.6,0.4,0.2,0.3,0.5,0.3,0.4,0
"Kořenov, Jizerka",1.1,1.3,1.3,0.6,0.4,0.3,0.2,0.4,0.5,0,0.4,0.4,0.1,0,0,0,0,0.2,1.3,1.1,1.7,2.3,2.6,1.4
"Kynžvart, Lazy",1.4,0.7,0.1,0.3,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0.5,2.1,1.6,0.4,0.5,0.7,0.6,0
"Bílý Potok, Smědava",0.8,1.5,1.3,0.1,0.8,0.3,0,0.4,0.3,0.1,0,0.9,0.1,0,0,0,0.3,0.3,0.7,0.8,1.1,1.6,2.4,0.7
Milešovka,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0
Měděnec,0.2,0.3,0.1,0.1,0.4,0.4,0.3,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.1,0.5,0.5,0,0.1
"Staré Hutě, Hojná Voda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6
Pec pod Sněžkou,0,0.1,0.2,0,0,0.2,0.2,0.3,0.6,0.4,0.3,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1
Strážný,0,0,0,0,0,0,0.3,0.1,0,0.2,0,0,0,0,0,0,0,0.4,0.5,0.6,0.5,0.4,0.3,0.5
"Jelení, Nová Pec",0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Klíny,0.2,0.4,0.2,0.2,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0.8,0.8,0.4,0.3,0.5,0.1,0
Zámyšl,0,0,0,0,0.1,0.5,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.2,0
Karlova Studánka,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0.3,0.4,0,0.1
Zbytiny,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Bedřichov, Nová louka",0.4,1.5,0.9,0.1,0.5,0.2,0,0.2,0.1,0.1,0.1,0.4,0,0,0,0,0.1,0,1.6,1.5,1.7,2.1,1.3,0.4
Bedřichov,0.4,1.5,0.9,0,0.6,0.1,0,0.1,0.1,0.1,0,0.3,0,0,0,0,0.1,0.1,1.3,1.5,2,2.1,1.4,0.2
Pohorská Ves,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,1
"Desná, Souš",1.1,1.6,1.6,0.3,0.3,0.2,0.1,0.3,0.5,0.2,0.1,0.3,0.2,0,0,0.2,0.5,0.4,1.3,1.4,2.7,2.9,2.7,1.8
"Dlouhé Stráně, Kouty nad Desnou",0,0.2,0.4,0.2,0,0.1,0,0,0,0.2,0.6,0.4,0.1,0,0,0,0.3,0.1,0,0.2,0.2,0.3,0.2,0.5
"Ktiš, Tisovka",0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0
Železná Ruda,0,0,0,0,0.4,0.7,0.4,0.3,0.5,0.2,0.1,0.1,0.1,0,0,0,0.1,0.2,0.2,0.2,0.5,0.4,0.8,0.2
Volary,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Červená,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.1,0,0.2,0,0,0.1,0,0,0.1,0.2,0,0.1
"Nýdek, Filipka",0,0,0,0.3,0.7,1,0.1,0.1,0,0,0.1,0.2,0.2,0.2,0.7,0.6,0.3,0.1,0,0,0,0.3,0.9,1.6
Přimda,0,0,0.4,0.1,0.1,0.1,0,0,0,0.4,0.2,0,0,0,0,0.6,0,0.7,0.6,0.8,0.1,0.2,0.2,0.1
Černá v Pošumaví,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5
"Olešnice, Čihalka",0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0,0.3,0,0,0,0.1,0.1,0.3,0.5,0,0.3
Svratouch,0,0,0.1,0.2,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.1
Čachrov,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
Kašperské Hory,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Bílá, Salajka",0,0,0.1,0.1,0.5,1,0.2,0.2,0,0,0,0.1,0,0.2,0.5,0.3,0.3,0.1,0,0,0,1.1,1.4,1.3
Nová Ves v Horách,0.2,0.5,0.3,0.6,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.2,0.5,0.2,0,0
Nedvězí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0
Černý Důl,0.2,0.4,0.2,0,0.1,0.6,0.8,1,2.2,2.1,1.8,1.2,0.9,0.7,0.3,0.7,0.4,0.6,0.6,0.7,0.6,0.4,0.5,0.3
Bezvěrov,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"Mariánské Lázně, vodárna",1,0.9,0.3,0.2,0.4,0.4,0.6,0.2,0.1,0,0,0,0,0,0,0,0.3,1.9,1.8,0.9,0.6,1.1,0.9,0
