Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0.4,0.4,0.7,0.6,0.7,0,0,0,0.4,0.6,0.2,0.5,0.4,0.1,0.3,0.1,0,0,0,0.4,0,0,0.2
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.3,0.5,0.4,1.8,1.2,0.3,0.6,0.1,0,0,0.6,0.6,0.6,0.7,1.1,1,0.6,0.1,0.2,0.1,0.2,0.6,0.6,0.6
Lysá hora,0,0,0.2,3.3,2.7,0.2,0.9,0.1,0,0,0,0,0.3,1.2,0.9,1.7,1.8,1.3,1.4,0.6,0.1,0.1,1.7,1.9
Labská bouda,0.9,1.4,1.3,1.9,1.2,1.6,0.3,0.2,1,1.9,1.9,1.4,1.6,1.7,1.1,1.4,0.9,0.8,0.7,0.2,1.6,1,1,1
Klínovec,2.2,2.7,4.5,0.8,0.2,0.6,2,2.3,2.2,2.6,2.6,1.6,1.6,3.9,3.2,3,3.3,2.9,3.8,2.3,1.1,0.9,0.9,1.1
"Bučina, u Kvildy",2.8,1.8,0.9,0.5,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.5
Churáňov,4.8,2.7,2,1.6,0.2,0.5,1,1,3.6,1.5,1,0.6,1.7,1.6,3.3,1.4,1.1,1.1,1,0.7,0.9,1.2,1.2,1.3
Dvoračky,0.3,0.1,0.3,1.4,0.1,0.5,0.1,0,1,2.9,3.5,2.5,3.3,2.9,2.2,1.9,1.3,1.1,1.4,0.4,1.9,2.3,1.8,1.6
Filipova Huť,2.6,1.4,0.7,0.4,0.5,0.5,0.4,0.6,1,1.9,1.6,1.4,7.4,2.2,1.8,1.6,1.4,1.9,1.6,1.2,1.3,1.8,1.8,1.3
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0.2,2.9,0,0,0,0,0,0.5,1.4,1.4,1.1,1.3,1.3,1.7,0.5,0,0,0.3,1.1,1.4,1.7,1.3
"Bělá pod Pradědem, Červenohorské sedlo",0.4,0.6,0.3,1.2,1.4,0.9,0.8,0,0,0,0.9,1,1.5,1.9,2.2,2.9,1.6,0.4,0.3,0.1,0.5,1.4,1.1,1.2
"Staré Město pod Sněžníkem, Paprsek",0.4,0.3,0.3,1.4,1.6,1.3,0.9,0.1,0,0,0.4,0.5,0.6,0.9,1.5,1.6,1.1,0.6,0.2,0.3,0.5,1.4,1.3,1.5
Kubova Huť,2.6,1.9,1,3.9,0.1,0.3,0.4,0.5,1,0.5,0.8,2,1.7,1.3,1.2,1.1,0.8,0.5,0.5,0.4,0.4,0.5,0.4,0.5
Špičák,1.9,1.4,0.7,0.6,0.5,1.4,0.6,0.9,1.9,2.1,1.5,4,5.9,8.6,7.2,8.6,6.7,9.1,4.6,5.9,4.8,7.1,5.8,6
Dyleň,0.1,0.1,0,0.8,0.7,0.7,0.3,0.2,0.5,0.1,0.2,0.4,0.5,0.5,0.5,0.8,0.5,0.4,0.3,0.2,0.1,0,0.3,0.9
Přebuz,0.5,1.2,1.9,0.2,0.2,0.5,1,1.5,1.9,3.5,2.6,2.7,4.1,3.9,4.1,2.3,2.4,3.1,2.3,3.1,3,2.6,1.5,1.3
Borová Lada,2.5,5.1,2.1,1.2,1.2,0.3,0.3,0.5,1.2,1.7,2.3,2.1,3.2,3.4,3.2,3.5,3.5,2.2,1.1,1,1.5,1.8,1.6,1.3
Abertamy,0.5,1.7,2.4,0.2,0.5,0,1.3,1.3,1.3,2.3,1.5,1.9,2.9,2.7,2.2,1.5,1.6,1.7,3.5,2.4,2.1,1.7,1.4,1.2
Prášily,4.4,3.9,1.6,0.8,0.2,0.8,0.9,0.9,1.7,2.1,4,3.7,2.1,3.3,2.2,2.6,2.7,4.2,3.4,3.1,2.8,3.6,3.5,2.3
"Luisino údolí, Deštné v Orlických horách",0.6,0.3,0.4,0.1,0.3,0,0.1,0,0,0.3,1.5,1,1.4,1.8,1.9,1.6,1,0.5,0.6,0.6,1,1.3,1.1,1.1
Hojsova Stráž,3.8,1.4,0.7,0.7,1.1,0.6,0.4,0.4,1.6,1.9,2.1,1.8,1.4,1.9,1.3,1.4,0.7,1.2,0.4,0.8,0.7,1.9,3,2.1
"Kořenov, Jizerka",0,0.1,0,0.4,0,0.1,0,0,0.2,1.1,1,1.1,0.9,1,0.8,1,0.6,0.8,0.8,0.4,0.7,0.9,0.5,0.9
"Kynžvart, Lazy",0,0.3,0,1.1,0.3,0.4,0.6,1.2,3.1,1.9,1,0.9,0.9,1,1,0.6,0.3,0.2,0.5,0.6,0.4,0.2,0.2,0.7
"Bílý Potok, Smědava",0,0,0,0.4,0,0,0,0,0.3,1.7,2,2.4,1.7,2.8,1.8,2.1,1.8,1.6,1.7,0.6,1.6,3.2,2.3,2.3
Milešovka,0.5,0.4,0.2,0.4,0.1,0.2,0.2,0,0.3,0.3,0.3,0.4,1.3,1.4,1.6,1.4,1.3,0.8,1.1,0.6,0.4,0.4,0.8,0.3
Měděnec,0.6,1,1.2,0.4,0.5,0,0.5,0.7,1.1,1.2,1.8,1.6,3,2.5,1.5,1.3,1.2,1.1,1.5,1.9,6.2,1.5,1.2,1.6
"Staré Hutě, Hojná Voda",0.4,0.3,0.3,0.4,0,0.1,0.4,1.1,1.4,1,0.5,0.1,0,0.1,0,0,0,0,0,0,0,0,0.3,0.1
Pec pod Sněžkou,0.1,0.2,0.2,0.7,0.2,0.3,0,0,0.3,0.8,1.2,1,1.1,1,0.9,1.1,0.7,0.3,0.4,0.2,0.5,0.5,0.5,0.4
Strážný,3.2,3,2.3,0.6,0.3,0.2,0.7,0.7,1.2,1.4,2.1,2.6,2.6,3.2,3.2,3,2.8,3.2,1.8,1.8,1.5,1.8,1.9,1.3
"Jelení, Nová Pec",3.6,3.5,2.9,1,0.3,0.3,0.9,1,1.3,1.6,1.9,1.8,2.2,3.1,3,2.8,3.2,3.1,1.9,1.8,1.2,1.6,2.5,1.3
Klíny,0.4,2.6,0.6,0.9,0.2,0.2,0.5,1.5,2.1,2.4,1.6,2.9,4.2,3.3,4,3.2,2.6,3.1,4.2,3.2,3.1,3.8,2.4,1.2
Zámyšl,3.6,0.9,0.4,0.6,0,0.2,1,0.8,1.7,1.1,0.7,0.9,1.2,1.2,0.7,1,0.5,0.5,0.2,0.7,0.6,1.5,2.5,1.4
Karlova Studánka,0,0.2,0.1,1.7,2.4,0.1,0.6,0,0,0,0.1,0.3,0.4,0.3,0.4,1.3,0.7,0.3,0.3,0.2,0.1,1.2,0.6,1
Zbytiny,3.4,3.2,1.1,0.7,0.1,0,0.6,0.7,1.1,0.8,1.2,1.1,0.7,0.9,0.7,0.4,0.4,0.3,0,0.2,0.1,0.4,0.3,0.3
"Bedřichov, Nová louka",0,0,0,0,0,0,0,0,0.3,2,1.7,1.6,1.7,2.2,1.4,1.3,1,1.1,0.7,0.7,1.4,2.2,1.8,1.9
Bedřichov,0,0,0,0,0,0,0,0,0.3,1.9,1.7,1.7,1.7,2.4,1.6,1.4,1,1,3.1,1.1,1.8,2.4,1.9,2
Pohorská Ves,1.7,2.2,2.4,0.4,0.2,0,0.3,1.8,2.2,1,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Desná, Souš",0,0,0,0.3,0,0,0,0,0.3,1.1,1.2,1.2,1.5,1.5,0.9,0.9,0.8,0.8,0.6,0.4,0.7,1,0.7,1.3
"Dlouhé Stráně, Kouty nad Desnou",0.2,0.4,0.2,0,1.1,0.2,0.7,0,0,0,0.4,0.6,0.8,0.9,1.3,2.2,1.5,0.4,0.2,0.1,0.3,0.9,0.9,0.9
"Ktiš, Tisovka",3.5,2.6,1.6,0.9,0.1,0.2,0.5,0.7,1.4,0.7,0.9,0.8,0.4,0.6,0.8,0.7,0.5,0.2,0.1,0,0,0.3,0.4,0.4
Železná Ruda,5.5,5.6,2.4,2,0,0.7,1.5,1.4,2.6,2.1,2.3,2,1,2,1.4,1.3,1.3,2.7,1.9,1.3,0.6,2.3,3.9,2.6
Volary,3.4,3.3,1.7,0.8,0.1,0,0.3,0.4,1.2,1.2,1.4,1.3,1.3,1.3,1.2,1.3,0.7,0.5,0.1,0.1,0.1,0.4,0.6,0.5
Červená,0.2,0.2,0.3,0.2,0.1,0.1,0,0,0,0,0,0.3,0.6,0.7,1.4,1.5,1.4,0.3,0.2,0.3,0.9,0.6,0.4,0.6
"Nýdek, Filipka",0,0.1,0.1,2.5,0.2,0,0.1,0,0,0,0,0,0,1,0.9,1.1,0.4,0.8,3.4,1.3,0.7,0.1,1,1.9
Přimda,0.5,0.6,0.1,0.1,0,0,0.8,0.5,1.2,1,1.3,0.9,1.1,1.8,1.4,1.8,1.5,0.8,0.5,0.4,0.2,0.4,1,0.7
Černá v Pošumaví,3.4,3.4,3.1,0.8,0.1,0,0.3,0.4,0.8,1.1,1.2,1,1,1.3,0.8,1,0.7,0.4,0.2,0.3,0.3,0.3,0.6,0.4
"Olešnice, Čihálka",0.2,0.1,0.3,1.1,0.2,0.2,0,0,0,0.1,0.6,0.2,0.7,0.9,1.4,1,0.9,0.3,0.3,0.3,1,1,1,1.2
Svratouch,0.7,0.2,0.1,0.1,0.3,0.6,0,0,0,0.2,0.7,1.2,2,2.1,2.5,1.8,1.8,1.5,1.1,1.2,2,1.8,1.6,1.9
Čachrov,2.4,0.6,0.1,0.1,0,0,0.4,0.3,1.3,0.7,0.4,0.4,0.4,0.4,0.2,0.2,0.1,0.1,0,0,0.1,0.6,0.9,0.3
Kašperské Hory,2.9,0.9,0.1,0.1,0,0,0.2,0.6,1,0.3,0.6,0.5,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0.5,0.5,0.6
"Bílá, Salajka",0,0,0.7,0.2,2.3,1.1,0.6,0.2,0.1,0,0,0,0.2,1.5,1.6,2.5,2.2,1.9,1,0.7,0.3,0.1,0.6,0.7
Nová Ves v Horách,0.3,1.5,0.3,1.1,0.2,0.1,0.5,0.5,1.4,1,1.5,2.8,3.3,3,3.3,3.5,3.1,3.2,4,3.5,3.5,2.8,4.8,0.4
Nedvězí,0.2,0.1,0.1,0.2,0.2,0.1,0,0.1,0,0.2,0.7,0.8,1.2,1.8,1.8,1.2,0.4,0.3,0.3,0.3,0.9,1.1,0.9,0.7
