Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.9,0.8,0.6,1.8,0.7,0.3,2.5,2.3,1.9,2.9,3,1.7,1.6,0.5,0.1,0,0,0,0,0,0,0,0,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,1.1,0.9,0.4,0.6,1.3,0.5,0.3,0,0.4,0.9,0.3,0.2,0.4,0.4,0.1,0,0,0,0,0,0,0,0,0
Lysá hora,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Labská bouda,0.9,0.9,0.7,1.9,2.5,2.5,2.4,4.1,2.3,4.8,4.8,3.1,2.5,2.1,0.5,0,0,0,0,0,0,0,0,0.1
Klínovec,0.4,0.2,0.2,0.2,0,0,0.3,0.3,0.2,0.5,0.4,0.2,0,0,0,0,0,0,0,0.1,0.7,0.4,0.6,0.7
"Bučina, u Kvildy",0,0,0,0,0,1.1,1.4,0.6,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Churáňov,0,0,0,0,0,0.3,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dvoračky,0.9,1.2,0.9,1.8,2.1,1.9,1.9,1.8,0.9,3.3,3,2.1,1.4,0.7,0.1,0,0,0,0,0,0,0,0,0.1
Filipova Huť,0,0,0,0,0,0.7,1,0.3,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0.2,0,0,0,0,0.1,0.7,0.9,1.1,1.5,1.8,1.2,1.2,0.6,0.1,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",1,1.1,0.6,1.2,2.6,0.6,0.2,0.1,1.3,2.5,1.3,0.5,0.7,0.7,0,0,0,0,0,0,0,0,0,0
