Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,4.8,3.6,6.2,5.1,6.1,4.1,8.7,9.3,9.9,9,12.2,5.7,5.2,2.9,2.1,1.7,0.7,0.4,0.3,0,0.1,2.3,3.7,3.3
Blatný vrch,0,0,0.1,0,0,0,0,0,0,0,0.8,1,4,2.6,2.9,1.7,2.2,0.8,2.4,0.5,0.4,0.4,0.2,0.1
"Boubín, vrchol",0.4,0.1,0,0,0,0,0.1,0,0.1,0.8,0.8,4.5,4,3.3,0.8,2,1.2,0.7,1.1,2,1,1.2,1,0.6
Plechý,0,0.1,0.1,0,0,0,0,0.2,0,0.7,0.6,4.5,3.2,3.1,2.5,1.4,1.4,0.9,0.9,0.9,0.6,0.5,0.3,0.2
Šerák,4.8,,,,,,,,,,,,,,,,,,,,,,,
Lysá hora,17.2,17,14.2,16.4,19.2,10.2,7.8,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,2.4,1.3,1.2,0.5,6.6,5.2,7.9,13,14.4,13.2,15.1,8,11.3,6.1,5.2,4,2.3,1.4,0.9,0.6,0.3,0.5,0.6,1.2
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.2,1.1,1.3,1.4,0.6,3.7,2.5,1.1,0.1
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0.5,0.9,1.9,4.2,3.2,1,1.2,1.9,0.7,1.3,0.7,0.6,0.4,0.3,0.1
Churáňov,0,0,0,0,0,0,0,0,0,0.3,0.6,2.3,3.7,3.2,1.3,1.4,2.2,2.2,2.8,1.9,1.4,1,0.8,0.4
Dvoračky,3.3,1.5,1.7,0.6,4.9,5,6.2,10.8,13.9,10.3,11.9,5.9,6.7,3.7,4,2.7,1.1,0.7,0.4,0.2,0.1,0.3,0.2,0.7
Filipova Huť,0.1,0,0,0,0,0,0,0,0,0.2,0.7,1.6,4.1,3.8,2,2.4,2.6,1.9,4,2.2,2.1,1.5,0.8,0.6
"Horská Kvilda, u Hamerského potoka",0.1,0,0,0,0,0,0,0,0,0.3,0.7,2.3,3.4,4.3,1.9,1.5,2.1,1.8,3,1.3,1.1,0.7,0.3,0.2
"Pomezní boudy, Horní Malá Úpa",6.7,6.3,6,10.4,8.2,6.4,10.2,10.5,10.1,11.7,11.5,5.4,6.7,3.2,3.5,2.4,1.2,0.7,0.5,0.5,0.4,2.4,4.4,3.2
"Bělá pod Pradědem, Červenohorské sedlo",9.5,8,6.4,10,10.1,15.2,14.4,21,15,5.3,1.7,0.7,0.3,0.1,0,0,0,0.2,0.6,2.9,1.3,2.7,0.2,0
"Hejnice, Smědavská hora",2.1,3.8,0.6,0.1,0.5,3.4,2.2,7.6,11.4,14.8,8.1,5.2,8,5.4,3.3,3.1,2,1.6,1.2,0.7,0.4,0.5,0.3,0.3
"Staré Město pod Sněžníkem, Paprsek",8.7,6,4.5,8.2,8.5,11.3,12.9,20.3,15.3,9.2,4,1.7,0.3,0,0,0,0,0,0,0,0,4.6,0.9,1.5
Kubova Huť,0.5,0,0,0,0,0,0,0,0,0.4,0.4,4.4,4.7,3.3,0.7,2.2,1.3,0.4,0.3,0.5,0.7,1,0.6,0.3
"Hejnice, Knajpa",2.1,3.4,0.5,0.1,0.6,3.2,2.1,6.5,10.2,13.2,6.1,4.4,6.3,3.9,2.3,2.3,1.2,0.9,0.5,0.3,0.2,0.1,0.2,0.1
"Bílý Potok, Pavlova cesta",0.5,2.1,0,0.1,0.3,2.5,1.6,7.2,11.5,13.9,8.2,5.9,9.1,6.7,3.8,4.1,2.6,1.9,1.4,1,0.7,0.7,0.6,0.8
Špičák,0,0,0,0,0,0,0,0,0,0,0.7,0.2,2,3.6,2.7,2.6,2.8,3.9,4.1,5.2,1.4,1.4,1,0.8
"Kořenov, Lasičí",1.9,2.9,1.9,1.1,1.8,4.9,2.8,9.6,8.3,7.4,11.7,4.4,6.1,3.3,1.9,1.7,1,0.8,0.4,0.2,0.2,0.4,0.1,
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1.6,1.4,1.4,1.4,2.3,1.2,0.5
"Kořenov, Jizerská cesta",2.7,3.2,1.1,0.1,1.1,5.8,1.9,8.2,9,10.9,9.7,4.2,6.8,3.8,2.3,2,1.4,0.8,0.5,0.3,0.3,0.4,0.2,0.2
"Bílý Potok, U Jeřábu",2.6,2.5,1.2,0,0.8,5.4,2,8.7,12.6,14.5,9.9,5.6,8.4,4.8,2.9,2.7,1.7,1.2,0.6,0.4,0.4,0.5,0.4,0.3
"Hejnice, Kasárenská",3,3.7,1.4,0.1,1.3,5.9,2.9,8.1,9.6,10.9,8,4.4,6.1,3.1,1.9,1.5,0.8,0.4,0.3,0.2,0.2,0.2,0.1,0
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0.7,1.4,0.2,1.1,1.3,0.2
Borová Lada,0,0.1,0,0,0,0,0,0,0,0.5,0.6,2.5,4.5,3.5,0.8,1,1.5,0.6,0.5,0.2,0.1,0.1,0,0
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,1.1,1.4,0.4,0.7,1.6,1.5,0
Prášily,0.1,0,0,0,0,0,0,0,0,0,1.2,0.6,3.7,3.8,2.5,2.9,1.9,1.2,2,1.3,0.2,0.4,0.3,0.1
