Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,1.5,0.4,0.2,0.3,0.7,1
Luční bouda,0.1,0,0,0,0,0,0,0.2,0.6,0.2,0.5,0.7,1.1,0.7,1.1,0.2,0.9,1,1.3,2,0.8,0.7,0.8,0.7
Blatný vrch,0,0,0,0,0.2,0.5,0.2,0.6,1.5,1.5,1.3,0.8,0.7,1.3,1.9,1.8,1.8,1.2,0.3,0.5,1,1,0.9,1.2
"Boubín, vrchol",0,0,0,0,0,0,0,0,0.7,1.3,0.7,0.7,0.9,0.7,2.6,5,2.1,1.8,1.4,1.1,1.3,0.9,0.6,0.2
Plechý,0,0,0,0,0,0,0,0,0,0,1.4,0.4,1,0.9,4.1,1.9,1.9,1.8,1.5,1,2,1.3,0.8,1.6
Šerák,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.5,0.9,2.4,2.3,0.8,1.1,0.6,1.3
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
Labská bouda,0,0,0,0,0,0,0.2,0.7,0.8,0.2,1.2,0.5,1.1,1.1,1,0.6,1.1,1.4,1.5,1.7,0.7,1.5,0.9,1.2
Klínovec,0,0,0,0,0.8,2.4,0.2,0,0,0,0,0.1,0,0,0,0.2,0,0,0.7,0.2,0.3,0.3,0.1,0.9
"Bučina, u Kvildy",0,0,0,0,0,0.2,0,0,0.6,1.7,1.3,0.9,0.7,0.9,2.7,2.1,2.3,1.5,0.6,1,1.9,0.7,0.4,0.3
Churáňov,0,0,0,0,0,0,0,0.1,1,1.6,1.5,1.8,0.9,0.9,1.6,1,1.5,1.5,0.6,1.3,1.8,1.5,1,0.3
Dvoračky,0,0,0.1,0.1,0,0.1,0.4,1.4,1,0.2,1.3,0.5,1.5,1.2,0.8,0.9,1.6,1.9,1.5,1.6,0.7,1.6,0.5,1.2
Filipova Huť,0,0,0,0,0,0.2,0,0.2,1.1,0.8,0.8,1,0.6,1.1,1.1,1.4,1.7,1.2,0.6,0.4,0.8,0.5,0.2,0.2
"Dolní Morava, Slaměnka",0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,1.6,0.5,0.4,1.4,1.6,1.8,1.2,1,0.7,1.2,2.1
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0.1,0.1,1.1,1.2,0.8,1.3,0.8,0.6,1.4,1,1.6,1.5,0.7,0.9,1.6,1.7,0.8,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0.2,0,0,0,0,0.4,0.4,0.6,0.5,1,0.6,0.9,1.1,1.4,1.1,1.4,0.9,0.8,0.5,1.3,1.3
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,3.1,1.8,2.2,1,0.5,0.8,0.2,1.5
"Hejnice, Smědavská hora",0,0,0,0.1,0,0.3,0.4,1.4,0.1,0.2,0.9,0.8,0.7,0.4,0.2,0.4,0.6,0.7,1.3,0.4,0.4,0.4,0.4,1.5
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.7,0.1,0.3,1.8,2.6,1.9,1.1,1.1,0.6,1.8
Kubova Huť,0,0,0,0,0,0,0,0,0.6,0.9,1,0.6,0.6,0.9,3.4,3.2,1.5,1.4,1.3,1.2,1.7,0.9,0.6,0.4
"Josefův Důl, Rozmezí",0.1,0,0.1,0.2,0,0.6,0.7,1.6,0.1,0.4,0.8,1,0.9,0.5,0.2,0.4,0.6,1.1,1.4,0.5,0.5,0.5,0.4,0.7
"Hejnice, Knajpa",0,0,0,0.1,0.1,0.4,0.4,1.3,0.1,0.3,0.9,0.6,0.6,0.4,0.2,0.4,0.5,0.9,1.3,0.4,0.4,0.4,0.4,0.9
"Bílý Potok, Pavlova cesta",0.1,0,0,0.1,0,0.2,0.4,1.3,0.1,0.2,0.8,1.4,0.8,0.3,0.2,0.4,0.4,0.7,1.2,0.3,0.4,0.3,0.4,1.2
Špičák,0,0,0,0,0,0.6,0.4,0.9,0.9,3.9,1.7,0.9,1.3,1.7,1.7,1,1,0.7,0.4,0.7,0.4,1.2,1.2,1.8
"Kořenov, Lasičí",0,0,0.1,0.1,0,0.2,0.2,1.2,0.3,0.3,1,0.9,0.9,0.7,0.2,0.6,0.8,1,1.4,0.6,0.5,0.6,0.3,0.7
