Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,0.6,0,0.1,0,0,0.1,0.3,0.2,0.6,3.8,1.8
Blatný vrch,0,0,0,0,0,0.1,0.1,0.2,0.8,0.2,0.3,0.4,0.1,0,0.4,0,0,0,0,2.7,2.1,1.2,1,1.7
"Boubín, vrchol",0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0.1,2.4,0.8,0,0.3
Plechý,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.1,1.6,0.6,0.4
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0.1,0,0,0,0.1,0,0.1,0.1,0,1.5
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,1.2,1.5,0.6,0,0,0,0,0.1,0.6,0.2,1.7,6.5,2.1
Klínovec,0,0,0.3,0.5,0.2,0.4,1.1,1.1,1,1.4,1.8,0.5,0.3,0,0,0,0,0,0.3,0.5,0.5,0.5,0,0
"Bučina, u Kvildy",0,0,0,0,0,0,0.3,0.2,1,0.4,0.4,0.4,0.1,0,0,0,0,0,0,1.3,1.8,0.7,0.6,1.7
Churáňov,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.2,0.1,0,0.3,0,0.1,0,1.7,2.4,0.4,0.1,1
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4,0,0,0,0,0.1,0.4,0.2,1.8,6.2,1.7
Filipova Huť,0,0,0,0,0,0.1,0.1,0.1,0.8,0.3,0,0.2,0.1,0,0.1,0.7,0,0.1,0,2,1.8,0.5,0.4,1.5
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0.1,0,0.7,0.5,0.1,0.6,0.2,0,0.1,0.4,0,0,0,1.6,2.2,0.3,0.2,1.7
