Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.2,0,0,0,0,0,0,0,0.2,0.2,0.8,0.1,0.1,0.8,0,1,1,0.5,0.3,1.1,2,1.3,1,1.8
Blatný vrch,2.9,2.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,1.6,3.1,2.3,3.4,1.5
Plechý,4,3.3,1.3,0,0,0,0,0,0,0.1,0,2.1,1.5,0,0.1,0,0,0.1,0.4,0.4,1.5,1.5,1.8,1.4
"Boubín, vrchol",0.4,0.2,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0.3,0.3,0.4
Šerák,3.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7
Lysá hora,0.5,0.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1
Labská bouda,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0.7,0.6,0.1,0.1,1.5,1.4,0.9,2,4.9
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,2,1.1,1.1
"Bučina, u Kvildy",2.5,2.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.4,1.4,2.3,2.5,1.9,1.5
Churáňov,2.3,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.4,1.4,1.2,0.3,0.8
Dvoračky,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.7,0.8,0.1,0.1,1,1.4,0.9,1.2,2.9
Filipova Huť,3.9,0.7,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.6,0.8,0.7,1.7,2,2,1.6
"Horská Kvilda, u Hamerského potoka",2.6,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.4,1.6,1.8,0.9,1.4
"Pomezní boudy, Horní Malá Úpa",0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.7,0,0.3,0.3,0.3,0.2,0.9,0.8,0.6,0.7,0.4
"Bělá pod Pradědem, Červenohorské sedlo",2.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0,1.5
"Staré Město pod Sněžníkem, Paprsek",4.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.5,1.3
Kubova Huť,0.8,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.6,1.3,1.1,0.3,0.5
Špičák,1.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,2.3,1.3,1
Dyleň,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,1.3,0.5,0.4,0.2
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.8,1.3,0.5
Borová Lada,1.6,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1.9,2,1,0.8
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.5,3.9,2.2,1.7
Prášily,3.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.9,2.1,3.3,5.2,4.4,2.1,1.3
"Luisino údolí, Deštné v Orlických horách",3.1,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0.1,0.1,0,0.4,0,0.2,1.1,1
Hojsova Stráž,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.2,2.2,1.8,1.3
"Kořenov, Jizerka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,0,1.6,0.5,0.6,1.6,2.8
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0.7,1.2,0.3,0.8
"Bílý Potok, Smědava",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,,,,,,,
Milešovka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.5,1.7
Měděnec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.7,0.8,0.2
"Staré Hutě, Hojná Voda",0,0,0.4,0,0,0,0,0,0,0,0,0,1.6,0.1,0,0,0,0,0,0,0,0.3,0.2,0
