Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0.3,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.5,0.2
Luční bouda,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,1.3,1,0.4,0.2,0.1,0.1
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.6,0.5,0.3,0.2,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.6,0.1,0.1
Lysá hora,0.1,0.3,0.5,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,1.4,1.4,0.7,0.6,0.6,0.4,0.3,0.2,0,0,0,0,0.3,0.4,0.5,0,0,0.1,4,3.4,3.3,1.9,2.5,2.3
Klínovec,0.1,0.2,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.5,0.5,0.8,0.5,0.8,0.6
"Bučina, u Kvildy",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0.2,1.9,3.5,2.1,2.2,1.5,0.4,0,0.3,0
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.2,2.2,1.5,1.1,0.8,0.6,0,0.2,0.1
Dvoračky,1.6,1.4,0.8,1.1,1.2,0.7,0.1,0.1,0,0,0,0,0.2,0.1,0.3,0,0,0.2,3,1.8,2,1.2,1.6,1.9
Filipova Huť,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0.3,2.1,2,1.5,1.6,1.4,0.6,0,0,0
"Dolní Morava, Slaměnka",0.5,0.6,0.4,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,0.9,0.1,0.2,0.7
"Horská Kvilda, u Hamerského potoka",0.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.5,2.7,2.6,1.6,1.7,1.7,0.8,0,0.2,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,1.6,1.2,0.1,0.9,0.3,0.1
"Bělá pod Pradědem, Červenohorské sedlo",0.7,0.7,0.9,1.1,1.1,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.6,0.6,0.4,0.2,0.1
"Hejnice, Smědavská hora",,,,,,,,,,,,,,,,,,,,,,,,
