Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Blatný vrch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.2,4.6,2,0,0,0.1,6.9,1,0.4
"Boubín, vrchol",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1.1,1.6,0.1,0.1,0,2.3,0.4,0.1
Plechý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,1.6,0.4,0,0,2.7,3.6,0
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.6,0.9,0,0
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.2,2,0,0,0,5.3,0.7,0.3
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.4,0,0,0,1.3,0.5,0.6
Dvoračky,,,,,,,,,,,,,,,,,,,,,,,,
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.9,1.8,0,0,0,3.3,0.3,0.8
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Hejnice, Smědavská hora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.4
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.6,0.2,0,0,1.8,0.5,0.1
"Hejnice, Knajpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"Bílý Potok, Pavlova cesta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
