Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.3,0,0,0,0,0,0,0.4,0.3,0.1,0.7,0.8,0.4,0.6,0.1,0,0.3,0.2,0,0.3,0.2,0.3,0.9,0.6
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.7,0.4,0.1,0,0,0,0.1,0.1,0,0,0.2,0.3,1.2,1.3,0.9,1.1,0.4,0.4,2.2,1.1,0.9,0.5,0.6,0.6
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.1,0.2,0.2,0,0,0.1,0.1
Labská bouda,0.8,0,0,0,0,0.1,0.8,1.4,0.9,1.2,1.5,2.1,1.1,1.1,0.9,2,2.1,1.5,0.9,1.4,1.7,2.6,3.6,3.2
Klínovec,0.1,0,0.4,0.2,0.2,0.2,0.6,0.8,1,0.9,0.5,0.5,0.4,0.8,0,0.3,0.8,1.2,0.8,0.6,1.1,1.4,1.6,2.1
"Bučina, u Kvildy",0,0,0,0,0,0,0.3,0.9,2.6,2.9,4.1,6.1,3.5,2.3,2.1,1.5,1.9,2.3,3.1,4,4.5,5.4,5.8,4.4
Churáňov,0,0,0,0,0,0,0,0.2,0.7,1.2,2.3,1.9,1.5,0.7,0.3,0.2,0.6,1.1,1.7,1.9,2.2,3.2,3.2,3.1
Dvoračky,0.2,0,0,0,0,0.1,0.8,1,0.6,1.3,1.4,2.3,0.8,0.8,0.9,1.9,2.1,2.1,1.5,1.8,1.4,1.4,2.6,3.5
Filipova Huť,0,0,0,0,0,0,0.2,0.4,1.3,1.6,3.3,2.6,1.2,1.1,0.7,1.2,1.6,2,2.1,2.1,2.6,3.6,4.3,4.5
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
