Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0.9,1,0,0,0,0.1,0.2,0.1,1.1,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.5,1.6,0.7,0,0,0,0.1,0,1.4,1.5,0.3
Klínovec,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,1.3,0.8,0.7,1.7,2
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.2,0,0,0,0.4,0.7,0.7
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.3,1.2,0.7,0,0,0,0,0.1,0.9,1.2,0.6
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.2,0,0,0,0,0,0.4,0.6
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.5,0.3
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0.1,0,0,0.4,1.7,1.5,1.6,0,0,0,0,0.1,0,1.5,0.5
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.4,0.2,0,0,0,0
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.3,0.1
Špičák,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.3,0.5,0.9,0.8,0,0,0,0,1.7,1.1,1,1.4
Dyleň,0,0,0,0,0,0,0,0,0,0.4,1.6,0.7,0.2,0,0,0,0,0,0,0.7,0.4,1.4,0.6,0.1
