Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luční bouda,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,8.6,1.9,0.3
Blatný vrch,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.1,3.4,0.1,0.1,6.8,3.7,0.7
"Boubín, vrchol",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.5,0.1,1.3,0.7,1.4
Plechý,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1.1,2.3,0.1,0.1,0,0.1,0.5
Šerák,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysá hora,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,2,0.8,0.9
Klínovec,0,0,,,,,,0,0,0,0,0,0,1.9,1,0,0,0,0,0,0,0,0.4,8.7
"Bučina, u Kvildy",0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,2.7,0.3,0.2,5.6,3.3,2.5
Churáňov,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,3.2,4,1.8
Dvoračky,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.6,0.6,1.4
Filipova Huť,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,4.3,0,0,5.1,4.4,0.4
"Dolní Morava, Slaměnka",0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horská Kvilda, u Hamerského potoka",0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4.3,0.1,0,4,3.9,1.1
"Pomezní boudy, Horní Malá Úpa",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.4,3.8,0.8
"Bělá pod Pradědem, Červenohorské sedlo",0,0,,,,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Smědavská hora",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1.5,0.2,0.2
"Staré Město pod Sněžníkem, Paprsek",0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubova Huť,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.6,0.9,0,0.9,0.3,1.1
"Josefův Důl, Rozmezí",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1.6,0.1,0.4
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1.3,0,0.3
Špičák,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.9,3.8,0,0.2,2.4,1.3,0.7
"Kořenov, Lasičí",0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,1.4,1.2,0.4
Dyleň,,,,,,,,0,0.8,0,0,0,0,6.6,0.4,0,0,0.1,0,0.1,0.1,0,0.4,2
"Kořenov, Jizerská cesta",0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.3,0.4,0.3
"Bílý Potok, U Jeřábu",0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.1,0.3,0.3
"Hejnice, Kasárenská",0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.2,0.3,0.4
Přebuz,0,0,,,,,,0,0,0,0,0,0,4.1,0.6,0,0,0,0.1,0,0,0,0.8,3.4
Pohoří na Šumavě,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8.8,6.6,0,0.5,0.1,0.9
Borová Lada,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,2.8,0.1,0,2.7,3.2,2.1
Abertamy,0,0,,,,,0,0,0,0.1,0,0,0,2.8,1.2,0,0,0,0.1,0,0,0,0.9,3.7
Prášily,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0.3,5.5,0.1,0,3,2.5,0.3
"Bedřichov, Olivetská hora",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.8,0,0.3
