Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,8.2,11.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blatný vrch,0,0.5,0.1,0,0.1,0,0.1,0.4,0.2,0,0,0,0,0,0,0.2,0,0.3,0.5,0.7,0.3,0,0.1,0.1
"Boubín, vrchol",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0.2,0.8,0.1,0
Plechý,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0.1,0
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0.2,0.2,0.4
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,9.4,0.3,0,0
Labská bouda,8.3,10.1,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.3,0,0,0,0,0,0,0
Klínovec,0.7,0.2,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0
"Bučina, u Kvildy",0,0.4,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.3,0,0.1,0
Dvoračky,8.4,7.7,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0.5,0.4,0.4,0,0,0,0,0,0,0
Filipova Huť,0,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1
"Horská Kvilda, u Hamerského potoka",0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.1,0
"Pomezní boudy, Horní Malá Úpa",13.6,5.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
