Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,11.1,7.2,17.3,13.8,6.1
Blatný vrch,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.5,1.2,1.9,2,0.9,0.4,0.1,0.7,0.1,0.1,0
"Boubín, vrchol",0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0.4,2.2,6.3,2.5,0.6,0.4,0.6,0.2,0.2,0.3
Plechý,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0.3,0.7,2.5,2.3,3.5,1.7,0,0.3,0.1,0.8,0.8
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.1,2.3,1.7,4.4,3.2,4.9
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.2,1,0.6
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,5.3,9,10,12.7,9.8,9.7,5.6
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.6,0.6,0.6,0,0,0
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8,1.8,2.5,2.6,0.3,0.1,0.8,0,0,0
Churáňov,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.9,1.4,2.6,2.5,1.2,0.1,0.5,0.1,0.3,0
Dvoračky,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,8.2,8.8,7.4,13.3,9.6,6.7,5.3
Filipova Huť,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,1.8,2.7,2.3,0.6,0.1,0.8,0.1,0,0
"Horská Kvilda, u Hamerského potoka",0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0.6,1.5,2.5,1.8,0.6,0.1,0.7,0.1,0.2,0.1
"Pomezní boudy, Horní Malá Úpa",0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,5.7,7.6,11.1,11.9,7.8,5.3
