Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2
Blatný vrch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Plechý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"Boubín, vrchol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.5
Labská bouda,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0.2,0.1,0.5,0.3,0.7,1.1,0.9,0.7
Klínovec,1.1,0.6,0.9,0.5,1,0.9,0.3,0.2,0,0,0,0,0,0,0,0,1,1.3,1.5,1,0.7,1,1,1
"Bučina, u Kvildy",0.2,0.1,0.3,0.1,0.3,0,0.4,0.4,0.3,0,0,0,0,0,0,0.3,0.1,0.5,1.3,1.3,1,1.3,1.4,1.7
Churáňov,0.1,0,0.1,0.1,0.1,0.2,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0.6,0.6,0.2,0.1,0.3,0.2
Dvoračky,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.1,0.1,0,0.2,0.2,0.3,0.3,1,1.1,0.9,0.8
Filipova Huť,0.1,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.1,0,0,0,0,0,0,0,0.1,0.3,0.9,0.9,0.6,0.7,0.6,0.7
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.5,0.5
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0.4,0.5,0.4
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0.3,0.7,0.8,0.6
Kubova Huť,0,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.3,0.2,0.2,0.1,0.6
Špičák,0.4,0.7,0.9,0.5,0.7,0.2,0.5,0.7,0.1,0,0,0,0,0,0,0.1,0.1,0.3,0.8,0.9,0.6,0.5,0.8,0.8
Dyleň,0,0,0,0.1,0,0,0,0,0,0,0.8,0,0.1,0,0,0.4,0.9,0.7,0.7,0.5,0.5,0.5,0.4,0.2
Přebuz,0.8,0.8,1,0.9,0.6,0.5,0.3,1.3,0.3,0.2,0.4,0,0,0,0.1,1.2,2.5,2.4,1.9,1.3,0.8,0.9,0.8,0.9
Borová Lada,0,0,0.3,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0.8,1,0.6,0.6,0.6,1
Abertamy,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0,0,0.5,1.1,1.1,1.1,0.8,0.5,0.5,0.7,0.7
Prášily,0.6,0.8,1.1,0.7,0.7,0.4,0.7,0.6,0.6,0.3,0.1,0.1,0,0,0,0,0.3,0.6,1.4,1.5,0.8,1,1.6,1.6
"Luisino údolí, Deštné v Orlických horách",0,0.1,0,0.1,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,1,1.1,1.1
Hojsova Stráž,0,0.3,0.4,0.2,0.3,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0.1,0.2,0.6,0.7,1,0.5,0.9,0.5
"Kořenov, Jizerka",0.4,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.1,0.4,0.1,0.3,0.4,0.4,0.5
"Kynžvart, Lazy",0.5,0.8,1.3,0.7,1.4,1,0.6,0.2,0.2,0.1,0,0,0,0,0.1,0.7,1.6,1,1.3,0.8,0.6,0.6,0.7,0.8
"Bílý Potok, Smědava",0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.4,0.2,0.3,0.6,0.5,0.5,0.6
