Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0.1,0.8,0.8,0.7,1,0.5,1,2.3,2,1.9,1,0.5,0.8,0.5,0.9,1.2,1.8,2,1.8
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0.4,0.3,0.2,0.2,0.1,0,0.1,0.1,0.2,0.1,0,0,0,0.2,0,0.5,1.2,1.3
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Labská bouda,0,0,0,0,0.3,1,1.4,2.5,1.7,3.5,3.7,4.4,5.8,3.6,3.1,2,2,2.6,2.3,3,1.8,2.6,3.1,5.4
Klínovec,0,0,0,0,0,0,0,0,0.2,0,0.2,0.1,0.1,0,0,0,0,0,0,0,1,1.6,0.2,0
"Bučina, u Kvildy",0,0,0,0.5,1.1,0.6,0.8,0.2,0.9,0.7,1.4,1.3,1.4,2.2,1,0.4,0.7,1.5,1.4,0.7,0.8,0.8,0.8,0.5
Churáňov,0,0,0.1,0.2,1.4,0.6,0.8,0.2,0.4,0.4,0.4,0.8,0.7,0.6,0.2,0.2,0.1,1.1,1.2,1.2,1,0.8,1.1,0.7
Dvoračky,0,0,0,0,0.3,0.3,0.5,1.2,0.9,1.9,1.7,3.6,3.2,1.9,1.2,1.1,0.8,1.6,1.3,1.5,1.3,1.8,1.7,2.2
Filipova Huť,0,0,0.2,0.5,0.7,0.7,0.9,0.2,0.5,0.7,0.8,0.6,0.4,0.4,0.3,0.1,0.2,0.8,1,0.7,0.7,0.6,0.8,0.3
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0.4,0.8,1.6,2.6,2.4,2,2.5,2.4,2.7,1.9,1.6,0.5,0.9,0.3,0.1,1.9,2.6,3.3,3.3
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0.1,0.1,0.3,0,0.1,0,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.4,1.5,1.4
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0.3,0.1,0.3,0.5,0.1,0,0.1,0.2,0.1,0.2,0,0,0.1,0,0,1,1,1.1
Kubova Huť,0,0,0,0,0,0.1,0.3,0,0.1,0.2,0.4,0.8,1.1,1.1,0.5,0.1,0.2,0.6,0.7,0.5,0.6,0.7,0.6,0.5
Špičák,0,0,0.3,0.4,0.2,0.1,0.5,1,0.7,1.1,2.1,2.6,0.5,0.1,0,0,0.6,0.8,1.6,2.6,1.5,1.8,1,0.5
Dyleň,0,0.1,0.3,0.7,0.1,0.1,0.3,0.1,0,0,0.1,0,0,0.1,0.1,0.2,0.5,0.6,0.9,1.1,2.5,1.1,0.4,0.2
Přebuz,0,0,0,0.5,0.8,1.4,2.1,1.3,0.9,0.1,0,0.7,0.3,0.1,0,0.4,0.5,0.1,0.3,0.7,2,0.5,0.2,0
Borová Lada,0,0,0.1,0.2,0.5,0.3,0.8,0.2,0.4,0.5,0.7,1,1.1,1.2,0.6,0.2,0.5,1.2,0.8,0.5,0.6,0.6,1,0.5
Abertamy,0,0.1,0.8,1.1,1.9,2.1,2.8,3,1.3,0.4,1,0.6,0.5,0.3,1.6,0.9,1,0,0.3,0.6,2.8,2.1,0.3,0
Prášily,0,0,0.2,0.7,0.7,1.1,0.3,1.1,1.5,1.7,1.7,3,1.7,1.4,0.6,0.3,1.2,2.2,2.3,2.4,2.1,3.3,2.1,1
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0.9,0.7,1,1.4,0.7,0.5,0.3,0.3,0.2,0.3,0.2,0.1,0,0.4,0.6,1,1.9,1.9,1.5
Hojsova Stráž,0,0.1,0.5,0.6,0.5,0,0.6,2,1.5,1.5,2.3,1.1,0.3,0,0.1,0,0.3,1.3,2,3.6,3.5,3,1.5,0.3
"Kořenov, Jizerka",0,0,0,0,0.2,0.4,1.1,1.7,1.3,2.6,2.2,3.6,2.9,2.3,1.2,0.8,0.7,2.6,1,1.4,1.7,2.3,3.2,2.4
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.3,1.1,0.4,0.2,0.2
"Bílý Potok, Smědava",0,0,0,0,0.2,0.3,1,1.8,1.2,2.1,2.2,3.6,3.1,2.5,1.3,0.5,0.7,2.2,1.4,1.1,1.5,2.3,2.7,2.6
Milešovka,0,0,0,0.2,0.5,0.7,0.3,0.3,0.2,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0.9,0.5,0.3,0.2,0
Měděnec,0,0,0.2,0.4,0.3,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.3,0.5,0.2,0.4,0.2,0.8,1.1,0.2,0
