Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0.3,0,0.4,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Blatný vrch,2.7,0.3,0.4,3.6,0.4,1.9,0.6,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,3.6,4.3,1.3,0.1
"Boubín, vrchol",1,0.9,0.3,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.3,3.3,4.3,1.4,0.4
Plechý,1.4,0.2,0.5,2.4,1.3,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,2,1.4,2.3,10.3,6.8
Šerák,0,0,0,0,0,0,0,0.1,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,3.5
Lysá hora,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,0,0,0,0,0.7,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Klínovec,0,0,0.7,13.8,1.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",1,0.2,0.2,2.3,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.1,0.1,0
Churáňov,0.8,0.3,0.3,2.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,7.1,0,0.7
Dvoračky,0,0,0,0,0,0.2,1.1,0.8,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Filipova Huť,0.8,0.2,0.2,2.8,0.2,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,4,4,0.5,1.8
"Horská Kvilda, u Hamerského potoka",1.1,0.4,0.2,2.4,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,3.7,0,1.9
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"Bělá pod Pradědem, Červenohorské sedlo",0.1,0,0,0,0,0,0,0,0,0.6,1.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0.1
"Hejnice, Smědavská hora",0.1,0,0,0,0,0.3,6.8,1.5,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubova Huť,1.1,0.3,0.3,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.7,2.6,4.3,2.9,0
"Hejnice, Knajpa",0,0,0,0,0,0.4,5.9,1.4,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Pavlova cesta",0.1,0,0,0,0.1,0.3,9.9,2.4,0.5,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Špičák,0.5,0.7,0.7,0.8,0.5,0,0.7,0.1,0.4,0.3,0,0,0,0,0,0,0,0,0,0,6.9,0.5,1.2,0.4
"Kořenov, Lasičí",0,0.1,0,0,0.5,0.5,1.2,0.7,0.1,0.1,0,0,0,0,0,0,0,0,,,,,,
Dyleň,0,12.8,3.6,4.7,0.7,3.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerská cesta",0,0,0,0,0,0.2,2.5,0.8,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, U Jeřábu",0,0,0,0,0,0.2,5.8,1.7,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Kasárenská",0,0,0.1,0,0,0.3,2.9,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Přebuz,0,0,2.8,3.4,1.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borová Lada,0.6,0.2,0.5,1.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.9,0.9,1,0.1
Abertamy,0,0,6,15.9,1.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prášily,1,0.4,0.4,1.2,0.2,0,0.4,0,1,0.3,0,0,0,0,0,0,0,0,0,0,4.3,0.3,0.4,0.1
"Bedřichov, Olivetská hora",0.1,0,0,0,0,0.9,8.3,2.8,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0,0,0.1,0.4,0.9,0.2,0,0,0,0,0,0,0,0,0,0.4,0.4,1.4,1.6
Hojsova Stráž,0.3,0.4,0.7,0.2,0.3,0,1.7,1.8,0.2,0.1,0,0,0,0,0,0,0,0,0,1.1,2.6,0.3,0.6,0.4
"Kořenov, Jizerka",0,0,0,0,0.7,0.5,1,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kynžvart, Lazy",0,1.6,26.5,3.7,2,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Smědava",0,0,0,0,0,0.3,5.1,1.6,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Milešovka,0,0.5,0,10.9,3.5,1.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Měděnec,0,0,0.1,6.8,1.1,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Hutě, Hojná Voda",0,19.2,0.5,0.1,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Pec pod Sněžkou,0,0,0,0,0,0.1,0,0.3,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
