Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0.3,0,0,0.3,0.2,0.4,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.5,0.5,0.9,0.6,0.6,0.8,0.8,0.7,0.4,0.6,1
Lysá hora,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0,0.2,0.1,0.2,0.7,0.6,0.3,0.2,0.1,0.4,0.4
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.1,0.1,0.5,0.3,0.1,0.2,0.2,0.7,0.4
Klínovec,0,0,0,0,0,0,0,0,0.7,0.8,0.7,0.6,0.2,0.1,0,0,0.4,0.5,0.3,0.3,0,0,0,0
"Bučina, u Kvildy",0.3,0.3,0.3,0.3,0.6,0.9,1.1,1.1,1.2,0.9,0.4,0.6,0.4,0.8,0.7,0.9,0.7,1.2,1.9,1.3,2,5.1,7.9,7
Churáňov,0.4,0.3,0.3,0.4,0.5,0.8,0.8,0.6,0.7,0.7,0.4,0.5,0.5,0.6,0.5,0.8,0.4,0.9,1,1.4,1.1,1.1,1.2,1.1
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.1,0.1,0.3,0.2,0,0.2,0.1,0.5,0.3
Filipova Huť,0.3,0.3,0.3,0.4,0.6,0.9,1,0.9,0.7,0.8,0.4,0.5,0.5,0.8,0.7,1,0.6,1.1,1.2,1.7,1.4,1.4,1.7,1.3
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.5,0.3,0.2,0.2,0.3,1.3,0.7
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.4,0.2,0.2,0.5,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.2
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0.2,0.1,0.2,0.2,0.1,0.2
Kubova Huť,0.3,0.2,0.3,0.3,0.4,0.7,1.1,1,0.9,0.8,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.8,0.9,1.6,2.1,3.4,2.8
Špičák,0.1,0.3,0.3,0.5,0.3,0.5,0.7,0.8,0.4,0.3,0.6,0.5,0.5,0.5,0.3,0.6,0.3,0.4,0.3,0.4,0.6,0.7,0.8,0.7
Dyleň,0,0,0,0,0,0,0,0.1,0.5,0.6,0.3,0.2,0.1,0.1,0,0.4,0.4,0.2,0,0,0.1,0.2,0.4,0.4
Přebuz,0,0,0,0,0,0,0.1,0.1,0.5,0.7,0.4,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0
Borová Lada,0.2,0.2,0.3,0.3,0.6,0.7,1.1,0.9,1.1,0.9,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.8,1.4,1.1,1.3,2.8,4,3.8
Abertamy,0,0,0,0,0,0,0,0.2,0.4,0.7,0.5,0.5,0.2,0,0,0,0.1,0.3,0.2,0,0,0,0,0
Prášily,0.1,0,0.4,0.4,0.6,1,1.2,1.2,0.7,0.8,0.6,0.8,0.9,1,0.8,1,0.8,0.8,0.6,0.9,1.5,1.8,2.2,1.7
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.4
Hojsova Stráž,0,0.2,0.2,0.3,0.5,0.7,0.6,0.7,0.6,0.6,0.7,0.8,0.6,0.9,0.8,1.1,0.6,0.8,0.5,0.9,1,0.8,1.1,0.9
"Kořenov, Jizerka",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.2,0.2,0,0,0,0,0.2
"Kynžvart, Lazy",0,0.3,0,0,0.1,0,0,0.2,0.6,0.8,0.4,0.4,0,0.1,,,,,,,,,,
"Bílý Potok, Smědava",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0,0.1,0.4,0.3,0.1,0,0,0.4,0.1
Milešovka,0,0,0,0,0,0,0,0,0,0.1,0.3,0.6,0.3,0.2,0.1,0,0.4,0.4,0.4,0.3,0.2,0.2,0.7,0.4
Měděnec,0,0,0,0,0,0,0,0.1,0.4,0.4,0.5,0.3,0.1,0,0,0,0.4,0.5,0.3,0.2,0.1,0,0.1,0.2
"Staré Hutě, Hojná Voda",0.1,0,0.5,0.7,0.3,0.5,0.4,0.5,0.4,0.5,0.9,0.3,0.4,0.2,0.6,0.7,1.2,1.4,1.9,1.1,0.8,0.8,0.9,0.9
Pec pod Sněžkou,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.1,0.2,0.4,0.3,0.2,0.2,0.1,0.9,0.5
Strážný,0.2,0.2,0.4,0.4,0.6,1,1.2,1.5,1.2,1.2,0.2,0,0,0,,,,,,,,,,
"Jelení, Nová Pec",0.2,0.2,0.7,0.5,0.9,1,1,1.3,1.5,0.9,0.7,0.5,0.2,0.5,0.6,0.9,0.8,0.8,1,1.1,1.4,0.7,1.3,1.2
Klíny,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.4,0.1,0,0,0.1,0.4,0.3,0.2,0.1,0,0.1,0.1
