Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0.3,3.2,0.1,0,0.1,0.2,0,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0
Blatný vrch,6.3,3.7,0.7,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boubín, vrchol",4.7,4.3,1.2,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plechý,5.5,3.1,0.9,0.9,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šerák,0,0,0,13.3,0.5,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysá hora,0,0,0,0,0,0,0,3.6,0.1,0.6,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,0,2.3,3.1,0.4,0,0.2,0.1,0.2,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0
Klínovec,1.1,1.6,0.9,0,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",5.4,3.5,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churáňov,3.5,3.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dvoračky,0,0,0,3.3,2.4,0.5,0,0.3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Filipova Huť,3.2,2.4,0.7,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horská Kvilda, u Hamerského potoka",2.4,2.7,0.6,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0.1,2.9,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,16.6,3.4,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Smědavská hora",0,0,0.2,3.2,1.4,0.1,0,0.3,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0,0,4.7,32.5,0.9,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubova Huť,3.9,4.9,0.9,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Knajpa",0,0,0.2,3.9,1.5,0.1,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Pavlova cesta",0,0,0.2,3.5,1.5,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Špičák,6.2,2.9,0.3,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Lasičí",0,0.1,0,4.9,1.2,0.3,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,,,,
Dyleň,2.1,0.9,0.1,1,0.9,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerská cesta",0,0,0.1,3.3,1.2,0.1,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, U Jeřábu",0,0,0.1,2.5,1.4,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Kasárenská",0,0,0.1,3.3,1.4,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Přebuz,1.6,1.1,0.1,0.6,15.4,2.8,0.1,0.1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borová Lada,3.3,3.1,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abertamy,1.2,1.9,0.6,0,2.3,3.6,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prášily,3.4,4.5,0.9,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Olivetská hora",0,0,0.8,4.2,1.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luisino údolí, Deštné v Orlických horách",0,0,0.1,5.4,0.1,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hojsova Stráž,3.2,4.9,0.2,0,1.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerka",0,0,0.1,4.9,1.3,0.2,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Kynžvart, Lazy",2.4,1.5,0.3,0.2,0.9,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Smědava",0,0,0.1,3.1,1.5,0.1,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Milešovka,0.3,2.1,2,1,0,0,0,0.1,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Měděnec,0.9,0.3,0.3,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Hutě, Hojná Voda",0,0.2,1.9,1.7,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pec pod Sněžkou,0,0,0,1,2.2,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strážný,3.9,6,1.2,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Tomšovka",0,0,0.6,4.4,1.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"Jelení, Nová Pec",4,4.3,0.9,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klíny,2.4,0.4,1.5,0.1,0,0,3,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zámyšl,4.2,3.9,0.8,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlova Studánka,0,0,0,4.7,4.9,0,0.4,0.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbytiny,1.9,5.4,0.8,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Nová louka",0,0,0.6,5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
"Bedřichov, Uhlířská",0,0,0.7,4.7,1.7,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,,,,,
Bedřichov,0,0,0.6,5.4,1.5,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jezdecká",0,0,0.1,4.1,1.3,0.1,0.1,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,,
Pohorská Ves,0,0,3.6,2,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desná, Souš",0,0,0.2,4.9,1.3,0.2,0,0.1,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"Dlouhé Stráně, Kouty nad Desnou",0,0,0,14.2,2.1,0,0.1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ktiš, Tisovka",2.5,6.3,2.6,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Blatný rybník",0,0,0.5,4.4,1.5,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Železná Ruda,4.3,3.2,0.3,0,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Kamenice",0,0,0.3,4.4,1.5,0.2,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Volary,2.9,4.4,1,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Červená,0.5,0,0,0,4.5,0,2.1,1.1,0.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nýdek, Filipka",0,0,0,0,0,0,0,0,2.7,2.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
Přimda,4.1,2.9,0,1.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Černá v Pošumaví,0.9,1.2,2.4,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
