Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.6,0.7,0.8,1.6,1.8,3.3,0.5,0,0.3,0,0.6,0,0,0,0.5,0.1,0.5,0.5,0.3,0.5,0,0,0,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Šerák,1.1,1.4,1.7,2.8,2.9,1.6,1.6,0.6,0.5,0.5,0.1,0.2,0.3,0.1,0,1.1,0.8,0,0,0,0.3,0,0.4,0.3
Lysá hora,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0.3
Labská bouda,3.4,2.8,4.2,3.3,1.9,0.6,0,0.3,0.2,0,0.1,0,1.2,1.9,3.6,2.3,2.5,0.9,1.1,0.4,2.4,0.1,0.4,0.6
Klínovec,0.5,0,0,0.6,0,0.5,0.3,0.1,0,0,0.3,0.3,0.5,0.7,0.5,0.3,0.2,0.1,0.2,0,0.4,0.3,0.6,0.6
"Bučina, u Kvildy",2.4,0.3,0.2,0.9,0.4,0,0.4,0.8,0.1,0.1,0,0.4,0.2,0.5,0.9,0.2,0.1,0.2,0.6,1.4,0.5,1,2.2,1.4
Churáňov,2.3,0.5,0,1.1,0.4,0.1,0.2,0.1,0.1,0,0,1.2,0.3,1.1,1.6,0.7,0.1,0,0.9,0.8,0.7,0.3,2,1.8
Dvoračky,3.7,3.2,3,0.8,1.1,0.7,0,0.4,0.2,0,0,0,2.1,2.1,1.8,1.4,0.9,0.6,0.5,0.1,1.1,0,0.2,0.3
Filipova Huť,2.2,0.2,0.3,0.9,0.8,0,0.3,0.6,0.2,0,0.1,0.8,0.1,0.4,0.8,0.4,0,0.2,0.2,1.1,0.3,0.5,0.7,0.6
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",1.6,1.7,1.6,0.5,0.6,1.1,0,0.1,0.3,0,0.3,0.3,0.8,1,2.4,0.4,2.2,0.5,0.6,0.7,1,0.1,0.1,0.3
"Bělá pod Pradědem, Červenohorské sedlo",2.3,1.8,2.8,3.4,2.2,2.2,2.5,0.9,1,1.5,0.2,0.4,0.3,0.1,0.8,1,1.8,0,0.1,0,0.3,0.2,0.5,1
"Staré Město pod Sněžníkem, Paprsek",1.6,1.2,0.8,0.6,0.3,0.7,0.5,0.3,0.4,0.6,0.1,0.1,0.2,0.1,0.4,0.8,0.8,0,0.1,0,0.6,0.2,0.2,0.3
Kubova Huť,1.5,0.2,0,0.5,0.4,0,0,0.5,0,0,0,0.4,0.2,0.5,0.6,0.2,0.1,0.1,0.6,0.6,0.6,0,1.9,0.5
Špičák,0.9,0,0,1.3,0.5,0.2,0,0,0,0,0,0.4,0.2,0.8,0.9,0.3,0.1,0.1,0.1,0,0.6,0.9,0.9,2.5
Dyleň,0.6,0.3,0.3,0,0.1,0.1,0.1,0,0.1,0,0.1,0.5,0.5,0.2,0,0.1,0.8,3.1,0.4,0,0.7,0.1,0.4,1.9
Přebuz,0.2,0.2,0.3,0.2,0.4,0.3,0.2,0,0.1,0,0.1,1,1.2,0.3,0.7,0,0.1,0.5,0,0.6,0.6,0.8,1.5,2.5
Borová Lada,1.8,0.2,0,1.1,0.6,0,0.1,0.8,0.2,0,0.1,0.5,0.4,0.7,0.9,0.4,0.1,0.2,0.6,1.9,0.8,0.6,2.8,0.9
Abertamy,0.4,0.1,0.2,0.4,0.2,0.4,0.3,0.1,0.1,0,0.2,1.1,1.7,0.4,1.1,0,0.1,0.7,0,0.4,0.6,1.2,1.4,2.3
Prášily,2.9,0.2,0,1.6,0.6,0.2,0.3,0,0,0,0,0.8,0.4,1.7,2,0.2,0,0,1.8,0.1,0.5,2,2.1,2.9
"Luisino údolí, Deštné v Orlických horách",4.2,5.1,4.9,2.3,0.5,0.3,0.1,0,0.1,0.1,0,0.3,0.4,1.4,2.1,1,0.2,0,0,0.1,2,0.8,0,0
Hojsova Stráž,0.6,0.2,0,0.7,0.3,0.2,0,0,0,0,0,0.2,0.1,1.2,0.6,0.2,0.1,0,0,0,0.6,0.8,0.3,1.5
"Kořenov, Jizerka",3.9,3.1,3.4,0,0.6,0,0,0,0,0,0.1,0,0.3,1.7,0.7,1.8,0.6,0.7,0,0.2,1.5,0,0.2,0.5
"Kynžvart, Lazy",0.7,0.1,0.1,0,0,0.5,0,0.1,0,0,0.1,0.5,0.3,0.1,0,0.1,0.6,3.7,0.3,0.6,0,0,0.3,0.6
"Bílý Potok, Smědava",4.5,3.6,2.5,0,0.2,0,0,0,0,0,0,0,0.1,1.3,0.2,2,0.1,0.5,0,0.2,0.5,0,0.1,0.3
Milešovka,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
Měděnec,0.3,0,0,0,0.1,0.1,0.1,0,0,0,0,0.3,0.2,0.4,0.5,0.3,0,0,0.3,0,0,0.1,0.2,1.1
"Staré Hutě, Hojná Voda",0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0
Pec pod Sněžkou,6,5.8,4.7,3.6,0.9,3.7,0,0.3,2,0.1,0.4,0.2,2.1,4.4,5.8,1,1.5,0.3,1.2,0.9,1.7,0.8,0.1,0.5
Strážný,1.5,0.3,0.1,1.5,0.4,0,0.3,1.8,0.1,0,0,0,0.1,0.4,1.6,0.3,0,0.2,0.4,0,1.6,0.3,1.8,0.4
"Jelení, Nová Pec",1,0.2,0.1,0.6,0.9,0,0.4,2.1,0.8,0,0,0.2,0.3,0.3,1.2,0.4,0.2,0,0.2,0.1,0,0.5,2.4,0
Klíny,2,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0.1,0.1,0,0,0,0,0,0,0,0.2
