Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0.1,0,0,0,0,1.1,0,0,0,0,0,0.1,0,0,0.1,0.1,0.5,0.3
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.6,0.8,0.7,0.3,0.2,0.9,0.5
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0.6,0.4,0.6,0.3,0.2,0.3,0.2,1,0.3
"Bučina, u Kvildy",0,0,0,0,0,0,0.1,1.2,1.8,2.1,1.6,0.9,0.1,0.7,1.6,2.6,2.7,3,4.6,2.4,2.4,1.6,0.9,0.2
Churáňov,0,0,0,0,0,0,0,0.2,0.2,0.6,0.5,0.4,0,0.7,1.3,1.5,1.5,1.7,2.9,1.4,0.6,0.7,0.6,0.5
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.6,0.9,1,1.4,0.8,0.8,0.9,0.6
Filipova Huť,0,0,0,0,0,0,0.1,0.3,0.6,1.7,2,0.6,0,1.2,0.7,0.9,1.1,1.7,2.7,1.7,2.2,1.4,1.3,0.2
"Dolní Morava, Slaměnka",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0.7,0.6,1.1,0.6,1,0.7,0.3
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,1.1,1.9,1.6,0.8,0,1.3,1.3,1.4,1.6,2.3,3.7,2.1,1.4,1.3,1.2,0.6
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0.5,0.8,0.2,0.2,0.4,0.1,0.8,0.6
"Hejnice, Smědavská hora",,,,,,,,,,,,,,,,,,,,,,,,
"Staré Město pod Sněžníkem, Paprsek",0,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0,0.2,0.1,0.2,0.2,0.5,1.1,0.4
Kubova Huť,0,0,0,0,0,0,0,0.1,0.4,0.8,0.5,0.6,0,0.3,0.6,0.9,0.7,0.6,1.9,0.8,0.8,0.6,0.3,0.4
"Josefův Důl, Rozmezí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
