Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4,0,0,6.1,6.3,0.5,0.7,0.1,0,0.9,7.2
Blatný vrch,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0.4,1,0,0,0,0,1.9,6.8,0.6,1.4,0.1,0,0
"Boubín, vrchol",0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0.4,0.1,0.1,0
Plechý,0,0.1,0,0,0,0,0,0,0,0.3,1.3,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.2,0,0,0,1.2
Lysá hora,0,0,0,0,0,0,0,0,0,0,0.1,0.7,1.8,1.9,1.1,0.2,0,0,1.5,0,0,0,0,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0.3,3.1,0,2.1,0.7,0.1,0,0.8,0.5
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",0.5,0,0,0.2,0,0,0,0,0,0,0,0.4,0.7,0,0,0,0,4.1,4.1,6.8,1.3,0,0,0
Churáňov,0.4,0.1,0,0,0,0,0,0,0,0,0,1.4,0.5,0,0,0,0,10.8,9.7,0.8,0.9,0.1,0.2,0
Dvoračky,0,0,0,0,0,0,0,0,0,0,0,1.5,0.4,2.5,0.2,0,0.6,0.1,0.3,0.3,0.1,0,0.1,0.9
Filipova Huť,0.4,0,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.2,2.3,0.9,1,0.5,0,0
"Horská Kvilda, u Hamerského potoka",1,0,0.1,0,0,0,0,0,0,0,0,2.1,1.6,0,0,0,0,1.5,1.9,1.1,0.4,0.3,0.6,0.1
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3.6,1.4,0.4,0,0,0.1,18
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,6.6
"Hejnice, Smědavská hora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,8.3,2,0.7,0,0.1,0.1,0.3,0.4,0.8
