Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,5.3,3.4,1.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0
Blatný vrch,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4
"Boubín, vrchol",0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Plechý,0.1,0.4,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Šerák,5.6,3.5,5.8,0.7,1.8,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysá hora,0.8,0.5,2.4,1.1,0.7,0.6,0.1,0.1,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,6.5,2.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2
Dvoračky,5.4,3.3,1.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.1
"Horská Kvilda, u Hamerského potoka",0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3
"Pomezní boudy, Horní Malá Úpa",3,4,1.8,1.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",2.7,3,5,2,1.8,0.9,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Smědavská hora",4,2.6,1.7,1.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",4.3,5.2,5.4,0.9,2.3,1.1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"Josefův Důl, Rozmezí",3.6,2.1,1.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Knajpa",3.4,1.8,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, Pavlova cesta",5,3.6,2.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Špičák,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Kořenov, Lasičí",4.7,1.2,0.8,1.2,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyleň,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerská cesta",4.4,1.4,0.9,1.4,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bílý Potok, U Jeřábu",4.6,2.4,0.9,1.8,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hejnice, Kasárenská",3.2,1.1,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.1,0,0,0,0,0,0,0,0
Borová Lada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.1,0,0,0,0,0
Prášily,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.6,0.3,0
"Bedřichov, Olivetská hora",2.5,2.6,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luisino údolí, Deštné v Orlických horách",5.7,0.7,3.2,1.1,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hojsova Stráž,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerka",4.7,1,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Bílý Potok, Smědava",4.8,2.7,1.5,1.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milešovka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Měděnec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staré Hutě, Hojná Voda",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pec pod Sněžkou,5.2,2.6,1.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strážný,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.7
"Bedřichov, Tomšovka",2.5,2.5,1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jelení, Nová Pec",0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Klíny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zámyšl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Karlova Studánka,5.7,7.7,10.2,1,1.6,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbytiny,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Nová louka",2.3,1.8,1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedřichov, Uhlířská",2.2,2.2,1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedřichov,2.2,2.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jezdecká",3.3,1,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pohorská Ves,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desná, Souš",3.5,1.2,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlouhé Stráně, Kouty nad Desnou",4.3,3,8.8,1.8,1.8,1.3,0.3,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ktiš, Tisovka",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
