Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.3,0.2,0.4,0.1,0,0,0.1,0,0,0.3,0.4,0.3,0.1,0.2,0.3,0.2,0.7,0.1,0.3,0.1,0.3,0.3,0.3,0.1
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0.1,0.4,0.8,0.8,0.7,0.7,1.2,0,0.3,0.7,0.9,1.1,1
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0.6,0.7,1.1,1.9,1.7
Labská bouda,0.7,2.3,0.2,0,0.2,1.6,0.9,0.5,1,2.2,1.9,2.2,0.8,1.9,3.3,4.8,1.5,2.2,3.6,2.7,2.9,3,2.7,3.7
Klínovec,1.3,0.7,0.1,0,0.1,0,0,0.5,0,0.5,0.2,0,0,0,0.4,0.1,1.3,0.9,0.3,0.9,0.7,0.8,0.5,0.1
"Bučina, u Kvildy",0,0.3,0,0.2,0,0.3,0.1,0,0.3,0.1,0,0,0,0,0,0,0.4,0.2,0,0,0.2,0,0.3,0.3
Churáňov,0.2,0.2,0.1,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0,0,0,0.2
Dvoračky,0.5,0.9,0,0,0.2,1.8,0.6,0.2,1.2,2.2,1.5,1.1,0.8,1.9,2.7,2.4,0.5,1,1.7,2.9,3.2,3.5,2.7,2.2
Filipova Huť,0,0.3,0.2,0.6,0.2,0.3,0.2,0.2,0.2,0.3,0.1,0.1,0,0.1,0,0.1,0.5,0.4,0.1,0.2,0.1,0.1,0.3,0.4
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,1,1.3,0.4,0.1,0.8,0.5,0,0.1,0.1,0,0.1,0.3,0.4,0.2,0.2,1.1,0.2,0.5,1.4,1.1,1.2,1.2,0.9
"Bělá pod Pradědem, Červenohorské sedlo",0.6,0.2,0,0.1,0.1,0,0,0.3,0,0,0.6,0.7,1.1,1.4,1.6,1.3,1.8,2,0.5,1.2,1.7,1.2,1.9,3.2
