Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Luční bouda,0.1,0.4,1.9,0,0.3,0.2,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.4
Blatný vrch,0,0,0,0,0,0,0,0,0,0,1.8,2.7,1.9,1,0.3,0,0,0,2.2,2.8,5.4,3,0.4,0.3
"Boubín, vrchol",0,0,0,0,0,0,0.1,0,0,0,0.5,1.5,1.5,0.6,0,0,0,0,1.3,0.7,0,0.6,0.2,0
Plechý,0,0,0,0,0,0,0,0,0,0,0.3,1.6,0.7,1,0.1,0,0,0,0.3,0.4,1.7,3.6,0.9,0.2
Šerák,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0
Lysá hora,0.2,0,0.1,0,0,0,0,0,0,0,1.4,5.5,0,0,0,0,0,0,0,0,0,0,0,0.1
Labská bouda,0,2.5,1,0.8,0.1,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6
Klínovec,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.5,0.8,1.8,0.5,4.3,0.7,0.4,0.1
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,1,2.6,1.5,1,0.1,0,0,0,1.8,0.3,1.9,1.5,0,0
Churáňov,0,0,0,0,0,0,0,0,0,0,0.6,1.7,1.7,0.4,0.1,0,0,0,2,0.1,0.1,1.8,0.1,0
Dvoračky,0,2.4,0.8,0.3,0.3,0.1,0.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.2,1.2
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0.7,1.9,1.4,1,0,0,0,0,1.1,0.2,0.4,0.5,0.2,0.2
"Dolní Morava, Slaměnka",0,0,0.1,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0,0,0,0.8,1.7,1.8,0.4,0.2,0,0,0,1.5,0.1,0.1,0.4,0.2,0
"Pomezní boudy, Horní Malá Úpa",0.1,0.3,3.5,0.4,0.8,0.7,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",0.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
"Hejnice, Smědavská hora",0.3,3.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.1
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0.2,0.2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Kubova Huť,0,0,0,0,0,0,0,0,0,0,0.5,1.9,1.7,0.7,0.1,0,0,0,0.9,0.5,0,0.2,0.1,0
"Josefův Důl, Rozmezí",1.1,4.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1,0.2
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",0.1,2.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
Špičák,0,0,0,0,0,0,0,0,0,0,1.5,2.2,3.6,1,0.2,0,0,0.2,1.8,0.8,0.7,1.8,0.4,0.1
"Kořenov, Lasičí",0.1,3.2,0.6,0.2,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1
Dyleň,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0
"Kořenov, Jizerská cesta",0.1,3.9,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
"Bílý Potok, U Jeřábu",0.1,4.3,0.4,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0
"Hejnice, Kasárenská",,,,,,,,,,,,,,,,,,,,,,,,
Přebuz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,1.2,1.7,1.7,2.5,1.6,0.7,1.7,0.1,0
Pohoří na Šumavě,0,0.1,0,0,0,0,0,0,0,0,0,0.3,1.1,1.4,0.4,0,0,0,0,1.2,0.7,0,0.6,0
Borová Lada,0,0,0,0,0,0,0,0,0,0,0.5,1.9,2,1.1,0.1,0,0,0,1.6,0.1,0.1,0.1,0.1,0.1
Abertamy,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.6,0.7,1.8,1.1,0.9,0.8,0.6,0
Prášily,0,0,0,0,0,0,0,0,0,0,1,2.2,2,0.8,0.2,0,0,0.1,1.1,0.7,0.7,1.4,0.2,0
"Bedřichov, Olivetská hora",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0
"Luisino údolí, Deštné v Orlických horách",0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Hojsova Stráž,0,0,0,0,0,0,0,0,0,0,1.2,1.8,2.5,0.8,0.2,0,0,0.3,0.4,0.4,0.9,1.2,0.1,0
"Kořenov, Jizerka",0,3.4,0.4,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0.1,0,0.5,0.1,0.4,0,0,0,0.3
"Bílý Potok, Smědava",0,4.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Milešovka,0.4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Měděnec,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"Staré Hutě, Hojná Voda",0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.8,0.1,0,0,0,0,0.6,0.4,0.2,1.7,0
Pec pod Sněžkou,0,0.3,2.3,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3
Strážný,0,0,0,0,0,0,0,0,0,0,0.6,2.1,1.9,1.4,0.1,0,0,0,0.9,0.6,0.9,2.6,0.1,0
"Bedřichov, Tomšovka",1.1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.1
"Jelení, Nová Pec",0,0,0,0,0,0,0,0,0,0,0.3,1.8,1,1.4,0.1,0,0,0,0.2,0.5,0.1,1,0.7,0.1
Klíny,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0.5,0.4,0,0.6,0.3,0.3
Zámyšl,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.5,0.4,0.2,0,0,0,2.4,0,0,0.1,0,0
Karlova Studánka,0,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbytiny,0,0,0,0,0,0,0,0,0,0,0.1,1.1,1,0.6,0,0,0,0,0.3,0.6,0,0.4,0.1,0
"Bedřichov, Nová louka",1.8,5.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2
"Bedřichov, Uhlířská",1.2,3.8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.1
Bedřichov,1.3,5.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"Kořenov, Jezdecká",0.3,3.5,0.2,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.3
Pohorská Ves,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.8,0.2,0.1,0,0,0,0.9,0.5,0,0,0.1
"Desná, Souš",0.2,2.8,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.4
"Dlouhé stráně, Kouty nad Desnou",0,0,0,0,0,0,0.6,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
"Ktiš, Tisovka",0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.8,0.1,0,0,0,0.4,1.2,0,1.1,1.5,0
"Bedřichov, Blatný rybník",1.4,4.8,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
Železná Ruda,0,0,0,0,0,0,0,0,0,0,1.4,3.3,2.8,1.2,0.1,0,0,0.6,0.9,0.2,0.4,1,0.3,0
"Bedřichov, Kamenice",1.4,4.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2
Volary,0,0,0,0,0,0,0,0,0,0,0.1,1.6,2,1.1,0.1,0,0,0,0.3,0.8,0,0.5,0.1,0
Červená,0,0,0,0,0,0.4,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"Nýdek, Filipka",0.3,0,0,0,0,0,0,0.6,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Přimda,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.1,0.2,0,0,0,0,1.2,0.7,0.1,0.1,0.2,0
Černá v Pošumaví,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,1.4,0.5,0,0,0,0,0.8,0,0.1,0.5,0
"Olešnice, Čihalka",0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0.4
Svratouch,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0.1,0.1
Čachrov,0,0,0,0,0,0,0,0,0,0,0.6,1.2,1.8,0.4,0.3,0,0,0,1.4,0,0,0,0,0
Kašperské Hory,0,0,0,0,0,0,0,0,0,0,0.5,1.1,1.2,0.1,0.2,0,0,0,1.4,0,0,1.7,0,0
"Bílá, Salajka",0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Nová Ves v Horách,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nedvězí,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
Černý Důl,0,0.1,0.8,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
Bezvěrov,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0.2,0.5,0,0.4,0.5,0.1,0.1,0,0
"Mariánské Lázně, vodárna",0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.2,0.1,0,0,0.3,0,0.2,0.1,0,0,0
Vysoké nad Jizerou,0,2.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3
Aš,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrachov,0,2.8,0.2,0.4,0.1,0.3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3
Protivanov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
Kadov,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0.3,0.4,0
Zdobnice,0,0,0.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1
Orlické Záhoří - vodárna,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2
"Hošťálková, Maruška",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deštné v Orlic. horách,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,1.1
"Borovno, Míšov",0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.1,0,0,0.1,0.2,1.8,1.2,0,0,0
Krásné Údolí,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0.1,0.2,0.4,0.1,0.3,0.8,0.2,0,0,0.1
Žacléř,0,0,1.6,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strašín,0,0,0,0,0,0,0,0,0,0,0.2,0.9,1.3,0.3,0,0.1,0,0,0.9,0,0,0,0,0
Vimperk,0,0,0,0,0,0,0,0,0,0,0.1,1,1.1,0.2,0.1,0,0,0,1.4,0,0,0.8,0,0
"Petrovice, Krásný Les",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0,0.2,0.7,0.4
Josefův Důl,0.7,5.6,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.3
Nový Rychnov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.5,0.4,3.1,0.4,3.7,0.2
Pivoň,0,0,0,0,0,0,0,0,0,0,0.4,1.3,0.5,0.2,0.4,0,0,1.3,0.5,1.1,0.2,0.3,0,0
Počátky,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0.8,2.2,2.9,0.3,3.4,0
"Nadějkov, Větrov",0,0,0,0,0,0,0,0.2,0,0,0,0,0.7,0,0,0,0,0.5,,,,,,
Netřebice,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0.8,0.2,0,0.1,0,0,0.8,0.1,0,0.6,0
"Uhelná, Nové Vilémovice",0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valašská Senice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
Nejdek,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.6,1.5,1.5,2.3,0.6,0.8,0.5,0
"Žďár nad Sázavou, Stržanov",0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,2.3,0.2,0,0,0,0.5,0.4,0.2
"Karlovy Vary, Olšová Vrata",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.3,0.9,0.1,1.4,0.4,0.1,0.1,0
Nové Město na Moravě,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,1.2,0.3,0,0,0,0.2,0.4,0.2
"Lovčice, Kvasetice",0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0.1,0.5,0.5,0,0,0
Lomnice,0,0,0,0,0,0.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
Světlá Hora,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hrčava,0,0,0,0,0,0,0,0.2,0,0.2,0.3,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0
"Šindelová, Obora",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0.1,1.1,1.7,1.6,0.8,2.4,0.1,0.6,0.1,0
Horní Maršov,0,0.1,1.5,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
"Kateřinice, Ojičná",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Nová Bystřice,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.1,0,0,0,0,0.1,1,1.4,0.6,0.1
Horní Lomná,0,0,0.1,0,0,0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
Strmilov,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.6,0.8,1.4,4.9,2.8,0
"Černovice, Dobešov",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.1,1.2,1.5,2.3,0.8,2,0
Rýmařov,0,0,0,0,0.1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Rokytnice v Orlic.horách,0,0,0.1,1.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.5
Třešť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.8,0.9,2.1,0.6,2.8,0.1
Hubenov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.3,0.6,1.6,0.4,3.1,2.4
Orličky,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.1
Kostelní Myslová,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,1.8,1.4,0.7,1.4,0.1
Sněžník,0,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.4,0,0.6,0.4
Žlutice,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0.5,0.3,0.5,0.2,0,0.1,0
Vysoké Studnice,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.4
Horní Bečva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolní Dvůr, Rudolfov",0,0.3,0.5,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
Lubná,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.1
Krucemburk,0,0,0,1.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.7,0.7,0
Vyšší Brod,0,0,0,0,0,0,0,0,0,0,0.1,0.8,1.4,1.6,0.6,0,0.1,0,0,0.4,0,0,0.1,0
Vatín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0.1,0.2,0.2,0.4
"Kamenice nad Lipou, Vodná",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.5,0.3,2.7,2.1,1.3,0
Tisá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Příbram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0,0.6,0.3,0.1,0,0
Bystřice nad Pernštejnem,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0.2,0.2,0
