Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0.2,0,0,0,0.2,0.5
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0,0,0,0,0,0,0.6,0.4,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Lysá hora,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.4,0
Labská bouda,0,0,0,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,1.4,2,0.2,0.7,0,0,0.2,0.3,1.6
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0
"Bučina, u Kvildy",0.2,0.2,0,0,0,0,0.3,0.8,0.5,0.1,0,0.2,0,0.9,0.6,1.5,2.4,1.4,1.2,0.4,0.2,1.8,1.6,0.4
Churáňov,0.1,0.1,0,0,0,0,0,0.2,0.5,0,0.1,0.1,0,0.4,0.3,0.7,0.2,0.5,2.5,0.2,0,0.6,1,0.4
Dvoračky,0,0,0,0.2,0.3,0,0,0,0,0,0,0.2,0,0,0,1.4,1.3,0.3,0.2,0.1,0,0.1,0.3,2.2
Filipova Huť,0.2,0.2,0,0,0,0,0.3,0.4,0.2,0,0,0.4,0.2,0.9,0.4,0.9,1.3,0.7,1.8,0.3,0.2,1.8,1.3,0.4
"Horská Kvilda, u Hamerského potoka",,,,,,,,,,,,,,,,,,,,,,,,
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.4,0.1,0,0.1,0,0,0,0.3
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0.5,1,0.6,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0,0,0,0,0,0,1.2,0.3,0.1,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0.3,0,0,0
