Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.2,0,0,0.4,1.4,0.3,0.4,0.3,0.1,0.5,0.1,0,0,0,0,0.3,0,0,0,1.6,2.1,1,0,0
Blatný vrch,,,,,,,,,,,,,,,,,,,,,,,,
"Boubín, vrchol",,,,,,,,,,,,,,,,,,,,,,,,
Plechý,,,,,,,,,,,,,,,,,,,,,,,,
Šerák,0.2,0,0,0,0,1,1.1,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.6,1.8,1.9,0.1
Lysá hora,0,0,0,0,0,0,0.4,0.6,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7
Labská bouda,0.3,0.1,0,1.1,3.3,1.9,2.3,1.2,0,0,0,0,0,0,0,0,0,0,0.7,2.3,4.7,2.1,0.8,0.3
Klínovec,0.1,0,0,0.1,0.3,0.4,0.4,1.4,0,0,0,0,0,0,1.6,2.2,2.5,1.8,3.3,0.7,0.7,1.1,1.4,2
"Bučina, u Kvildy",0,0,0.3,2.3,1.6,1.8,0,0,0,0,0.2,0,0,0,0,0,0.6,1.2,3,5.7,1.4,0.4,0.2,0.1
Churáňov,0,0,0,1.2,1.2,1,0,0,0,0,0,0,0,0,0,0,0.3,1.3,2.2,3.6,1.1,0.3,0.8,0.7
Dvoračky,0.4,0,0,1.2,2,1.1,1.6,0.1,0,0,0,0,0,0,0,0,0,0.2,1.4,2.1,3,1.6,0.8,0.4
Filipova Huť,0,0,0,1.4,1.6,0.9,0,0,0,0,0,0,0,0,0,0,0.5,1.2,2.7,3.5,0.4,0.2,0.4,0.5
"Horská Kvilda, u Hamerského potoka",2,2.1,2,4.2,2.9,1.4,0,0,0,0,0,0,0,0,0,0,0.6,1.3,2.6,3.7,0.8,0.1,0,0
"Pomezní boudy, Horní Malá Úpa",0,0,0,0.5,3,2.4,2.7,0.1,0,0,0,0,0,0,0,0,0.3,0,0,2.1,4,1.4,0.8,0
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,1.3,3,2.3,0.3,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.6,1.8,2.1,0.6
"Staré Město pod Sněžníkem, Paprsek",0.3,0,0,0,0,0.6,0.8,0.6,0.2,0.3,0,0,0,0,0,0,0,0,0,0.1,0.4,1.5,1.1,0.1
Kubova Huť,0,0,0,0.3,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0.5,1.9,3.4,1.6,0.3,0.4,0.1
Špičák,0,0,0.5,2.5,1.8,0.2,0,0,0,0,0,0,0,0,0,0.2,2.5,2.8,1.7,3.1,1.1,0.9,0.7,0.8
Dyleň,0.1,0,0.6,0,0.1,0,0,0,0,0,0,0,0,0.8,0.9,0.8,0.4,0.2,2.4,0.5,0,0.1,0,0
Přebuz,0.5,0.4,0.3,0.4,0.4,0.2,0,0,0,0.2,0,0,0,0.2,0.7,1.7,1.6,1.4,4.9,0.8,0.7,0.4,0.7,0.9
Borová Lada,0,0,0,1.3,0.7,1.6,0,0,0,0,0,0,0,0,0,0,0.3,0.9,2.4,5.1,1.8,0.4,0,0.5
Abertamy,0.5,0.3,0.2,0.2,1.1,0.1,0,0,0,0.1,0.1,0,0,0.1,1.3,1.1,0.8,1,4.7,0.5,0.4,0.4,0.8,1.4
Prášily,0,0,0.4,3.3,2.8,0.7,0,0,0,0,0,0,0,0,0,0,2.6,2.8,3,3.7,1.6,0.4,0.6,0.5
"Luisino údolí, Deštné v Orlických horách",0,0,0,0,0.5,2,1.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,1.5,0.2,0.5
Hojsova Stráž,0,0,0,1.4,1.2,0,0,0,0,0,0,0,0,0,0,0.2,4,2.8,2.4,3.8,0.8,0.6,0.3,0.3
"Kořenov, Jizerka",0,0.3,0,1.7,2.1,1.5,1.9,0.1,0,0,0,0,0,0,0,0,0.3,0.2,2.9,3.7,3.5,1.5,0.1,0
"Kynžvart, Lazy",0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.5,0,0.5,2.3,0.5,0.1,0.5,0.3,0.4
"Bílý Potok, Smědava",0,0.2,0,1.1,1.4,0.6,2.6,0.3,0.3,0.1,0.2,0.1,0,0,0,0,0.8,0.6,2.7,4.6,4,1.9,0.5,0
Milešovka,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0.4,0.5,2,0,0,0,0
Měděnec,0.1,0.2,0,0.1,0,2.2,0.1,0,0,0,0.1,0,0,0.1,2,3.5,3.4,3.3,3.4,0.1,0,0.2,0.3,0.5
"Staré Hutě, Hojná Voda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0
Pec pod Sněžkou,0.3,0.1,0,0.6,2.1,2.2,2.6,0.1,0,0,0,0,0,0,0,0.1,0,0,0.2,2,4.7,2.5,1.1,0
Strážný,0,0,0,0.1,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0.4,2.3,3.6,2.2,0.3,0,0.3
"Jelení, Nová Pec",0,0,0,0.1,1.3,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,3.3,4.9,0.5,0.4,0
Klíny,0.5,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.2,0.2,0.9,0.4,1.7,0.7,0,0.3,0,0.9
Zámyšl,0,0,0.1,1.3,1.9,0.4,0,0,0,0,0,0,0,0,0,0,2.7,2.5,2.3,2.6,0.7,0.7,0.1,0
Karlova Studánka,0,0,0,0,0,1.6,3.4,1.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,3.5,5.1,0.3
Zbytiny,0,0,0,0,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0.7,1.7,2.5,0.1,0,0
"Bedřichov, Nová louka",0,0,0,0.3,0.5,0.3,0.6,0,0,0,0,0,0,0,0,0,0.1,0.4,1.4,2.4,1.6,1.1,0.1,0
Bedřichov,0,0,0,0.5,0.3,0.1,0.5,0,0,0,0,0,0,0,0,0,0.2,0.4,1.7,2.3,1.2,0.8,0,0
Pohorská Ves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0
"Desná, Souš",0.1,0.1,0,1.3,1,0.9,2,0.1,0.1,0.2,0,0,0,0,0,0,0.1,0.4,2.6,3,2.1,1.3,0.2,0.1
"Dlouhé Stráně, Kouty nad Desnou",0,0,0,0,0,1.2,4.5,3.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.2,2.3,3.1,0.5
"Ktiš, Tisovka",0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.1,0.1,0.2
Železná Ruda,0,0,0.4,3.2,1.9,0.5,0,0,0,0.1,0,0,0,0,0,0.1,2.9,4.4,2.5,3.3,0.7,0.7,0.7,0.3
Volary,0,0,0,0,0.3,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,1.3,2.4,2.3,0.1,0,0.3
Červená,0,0,0,0,0.2,0.4,1.7,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.8,1.3
"Nýdek, Filipka",0,0,0,0,0,0,0.3,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Přimda,0,0,1.5,2.4,1.4,0.4,0,0,0,0,0,0,0,0.2,0.5,1.1,0.3,0,1.8,0.5,0.3,0.2,0.1,0.3
Černá v Pošumaví,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2.1,0.4,0,0
"Olešnice, Čihalka",0,0.3,0,0,0.8,1.7,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0.1,0.1
Svratouch,0,0,0,0,0,1.3,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
Čachrov,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0.1,1.9,1.1,2.2,1.3,0.2,0.8,0,0
Kašperské Hory,0,0,0,0.7,0.9,1.1,0,0,0,0,0,0,0,0,0,0.1,0.3,1.1,1.7,1.6,0.4,0,0.1,0
"Bílá, Salajka",0,0,0,0,0,0,0.9,0.3,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Nová Ves v Horách,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0.5,0.7,1,0.7,2.1,1.1,0.2,0.3,0.2,0.4
Nedvězí,0,0,0,0,0.1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.1,0
Černý Důl,0.3,0,0,0.1,2.4,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,3.3,0.3,0.5,0
Bezvěrov,0,0,0.8,0.3,0.1,0,0,0,0,0,0,0,0,0.1,0.4,0.9,0.9,0.1,0.8,0.4,0,0.1,0,0.5
"Mariánské Lázně, vodárna",0.2,0.1,0.6,0.1,0.1,0,0,0,0,0,0,0,0,0.5,0.8,1.4,0.3,0.3,1.9,1.5,0.2,0.7,0.7,0.3
