Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0.3,2,0.6,0.5,0.9,0.1,0,0,0,0.6,1,0.6,1.5,0.9,1,0.8,0.5,0.7,1.7,0.9,1.7,3.5,1.9,1.9
Blatný vrch,0,0,0.1,0,0,0.4,0.2,0.2,0.4,0.7,1.6,0.3,0.4,0.2,0.2,0.2,0.1,0.1,0,0.2,0.5,0.2,0.9,0.2
"Boubín, vrchol",0,0,0,0,0.1,0.4,0,0.1,0.1,2.2,1.3,1.3,0.1,1.5,0.8,0.8,1.3,0.7,0.9,0.6,0.4,0.7,0.8,0.3
Plechý,0.2,0.2,0.2,0,0,0.1,0.3,0.9,0.8,1,0.2,0.9,0.8,0.4,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.1,0.3,0.2
Šerák,0.2,0,0.8,0.3,0.3,0.4,0.8,0.5,0.4,1.1,0.9,0.2,0.6,0.4,0.4,1,1.2,1,1.1,2,1.2,1.3,1.6,1.3
Lysá hora,0,0,0,0,0,0,0.3,0.2,0.1,0.5,0.8,0,0.4,0.8,1,0,0.4,1.3,0.5,0.5,0.2,0.1,0.1,0.1
Labská bouda,0.7,1.7,1.1,0.7,0.8,0,0,0,0.5,0.3,0.7,0.6,0.8,0.9,0.8,0.9,0.6,1.5,2.2,0.7,1.3,2.9,1.1,1.6
Klínovec,0.5,0.1,1.5,0.5,0.1,1.3,0.9,0.9,0.7,0.8,0.7,0,0.7,0.1,1.2,0.4,0,1.4,1.2,0.1,0.3,0.9,0.9,0.8
"Bučina, u Kvildy",0,0,0,0,0.4,0.2,0.2,0.5,0.6,0.2,0.5,0.2,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.5,0.3,0.3,0.3
Churáňov,0,0,0,0,0.4,0.1,0.2,0.7,0.5,1.5,2.2,1.3,0.9,0.4,0.5,1,0.6,1.1,0.5,0.6,0.8,0.8,0.4,0.7
Dvoračky,0.8,1.4,1,0.7,0.9,0.1,0,0,0.3,0.4,0.3,0.5,0.7,0.4,0.4,0.1,0.3,0.3,0.9,0.5,0.8,2,0.5,0.7
Filipova Huť,0,0,0,0,0.3,0.5,0.1,0.5,0.9,0.9,2,0.6,0.5,0.9,0.5,0.5,0.3,0.4,0.6,0.2,0.8,0.5,0.3,0.2
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0.4,0.3,0.3,0.8,0.6,1.5,2,1,0.9,0.3,0.7,0.8,0.7,0.9,0.5,0.5,0.4,0.7,0.2,0.5
"Pomezní boudy, Horní Malá Úpa",0.3,0.5,0.8,0.5,0.4,0,0,0.2,0.4,0.8,0.5,1.5,1.5,1,0.7,0.8,0.3,0.4,0.6,0.2,1.2,2.1,1.5,1.4
"Bělá pod Pradědem, Červenohorské sedlo",0.1,0,0.2,0.5,0.4,0.1,0.7,0.5,0.3,0.2,0.4,0.1,0.1,0.3,0.1,0.7,0.7,0.8,1.2,1.8,1,0.8,1.1,0.7
"Hejnice, Smědavská hora",0,1.1,0.2,1.1,1,0.4,0.1,0.6,0.1,0.3,0.5,0.4,0.9,0.6,0.7,0.5,0.1,0.4,0.3,0.2,0.3,0.6,0.8,0.2
"Staré Město pod Sněžníkem, Paprsek",0.1,0,0.3,0.4,0.5,1.2,1.3,1.3,0.8,0.8,0.4,0.3,0.3,0.2,0.2,0.6,0.9,1,0.6,1.3,0.8,3.3,1.3,1.4
Kubova Huť,0,0,0,0,0,0.4,0.2,0.2,0,4.2,1.8,0.8,0.9,2,1,0.9,1,0.8,0.3,0.4,1.1,0.6,0.5,0.2
"Hejnice, Knajpa",0.1,0.7,0.2,0.9,0.8,0.4,0,0.3,0,0.1,0.4,0.2,0.4,0.3,0.3,0.2,0.1,0.3,0.2,0.1,0.2,0.6,0.7,0.1
"Bílý Potok, Pavlova cesta",0,0.9,0.1,1,0.8,0.2,0.1,0.5,0.2,0.5,0.3,0.3,1,0.8,0.7,0.3,0.3,0.4,0.5,0.3,0.3,0.6,1,0.1
Špičák,0,0,0,0,0.1,0.3,0.4,0.5,1.1,0.6,1.5,1.7,0.6,0.5,1,0.4,0.2,0.6,0.1,0.8,0.6,1.8,0.9,0.5
"Kořenov, Lasičí",1.1,0.7,0.7,0.7,0.6,0.3,0.1,0.2,0.1,0.2,0.6,0.4,0.7,0.4,0.8,0.6,0.3,0.8,0.7,0.4,0.2,0.9,1.1,0.2
Dyleň,0.2,0,0,0,0,0,0.1,0.2,0.4,0.1,0,0,0,0,0.1,0,0.3,0,0,0.1,0.2,0,0.2,0.4
"Kořenov, Jizerská cesta",0.2,1.1,0.3,0.3,0.3,0.7,0.1,0.7,0.1,0.2,0.8,0.5,0.6,0.7,0.6,0.6,0.2,0.5,0.4,0.5,0.2,0.7,0.9,0.1
"Bílý Potok, U Jeřábu",0.1,0.9,0.6,0.8,0.5,1,0,0.8,0.1,0.3,0.7,0.8,0.9,1,0.9,0.8,0.2,0.6,0.8,0.4,0.3,1,1.1,0.2
"Hejnice, Kasárenská",0.3,0.8,0.5,0.5,0.3,0.7,0.1,0.4,0.1,0.2,0.6,0.3,0.5,0.5,0.4,0.4,0,0.3,0.3,0.3,0.1,0.7,0.8,0.1
Přebuz,0.1,0.4,0.5,0.3,0.2,0.7,0.7,0.2,0.2,0,0.2,0.6,0.1,0.2,0.2,0,0.3,0.5,1.2,0.3,0,0.1,0.4,0.2
Borová Lada,0,0,0,0,0.4,0.1,0.1,0.7,0.3,0.3,1,0.4,0.6,0.7,0.4,0.6,0.1,0.9,0.3,0.2,0.2,0.5,0.1,0.2
Abertamy,0.1,0.2,0.1,0.1,0.2,1,0.6,0.2,0.3,0.2,0.2,0.1,0.8,0.1,1.1,0.2,0.2,0.8,1.1,0.1,0,0.3,0.3,0.4
Prášily,0,0,0,0,0,0.3,0.7,0.9,0.3,0.3,0.8,0.1,0,1.6,2.3,0.3,0,0.5,1.1,0.5,0.3,0.5,0.3,0.4
"Bedřichov, Olivetská hora",0.1,0.8,0,0.1,0.6,0.2,0.1,0,0.3,0.2,0.1,0.3,1.1,1.6,0.6,0.4,0.2,0.3,0.5,0.2,0.2,0.2,0.8,0.3
"Luisino údolí, Deštné v Orlických horách",0,0.1,0,0.2,0.6,0.2,0.9,0,0.2,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.9,0.1,0.5,0.2,0.9,0.3
Hojsova Stráž,0,0,0,0,0,0.5,0,1.3,0.7,1.3,2,2.6,0.9,0.3,0.4,0.6,0.5,0.3,0.3,0.9,1.3,2,1.1,0.9
"Kořenov, Jizerka",1,0.5,0.6,0.8,0.4,0.3,0,0.2,0.1,0.2,0.5,0.2,0.5,0.2,0.6,0.2,0.1,0.3,0.5,0.3,0.1,0.7,0.9,0
"Kynžvart, Lazy",0.2,0.5,0,0,0,0.1,0.6,0.6,0.2,0.2,0,0.3,0,0.1,0,0.2,0.2,0,0.2,0,0.1,0.1,0.6,0.9
"Bílý Potok, Smědava",0.2,1.3,0.3,0.5,1.4,1,0,0.7,0.1,0.4,0.4,0.7,0.9,0.7,0.7,0.5,0.2,0.3,0.6,0.3,0.3,0.8,1.1,0.1
Milešovka,0.1,0.6,0,0,0,0,0.1,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0.1,0,0.3,0.1,0
Měděnec,0.2,0.2,0,0.1,0.5,0.2,0.1,0.5,0.2,0.3,0,0.3,0,0,0.5,0,0.4,0.1,0,0,0,0.2,0.3,0.6
