Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,1.1,0.1,0,0,0,0,0,0.2,0,0.9,0.1
Blatný vrch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,9,5.9
"Boubín, vrchol",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,4.4,4.4,4.7
Plechý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.3,6.6,4
Šerák,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.1,7,4.6,0.1
Lysá hora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labská bouda,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1
Klínovec,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0.7,0.7,0,0,0.4,0.2,1.6,1
"Bučina, u Kvildy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,10.4,7.6
Churáňov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.7,16.8,10.4
Dvoračky,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0,0
Filipova Huť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,8.7,8
"Horská Kvilda, u Hamerského potoka",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,10.5
"Pomezní boudy, Horní Malá Úpa",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.1,0.1,0,0,0,0,0.2,0,0.7,0.4
"Bělá pod Pradědem, Červenohorské sedlo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,2.9,0.1
"Hejnice, Smědavská hora",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
