Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,2,3.9,3.3,2.1,1.1,1,0.5,1,1.5,1.2,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Blatný vrch,1.2,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.9,0.1,0,0.6,0,0.6,0,1.3,0,0,0
"Boubín, vrchol",1.2,0.7,0,0,0,0,0.1,0,0,0,0,0,0.7,0.2,1.4,4.2,0,0,0,0.1,0,0.4,0,0
Plechý,1.7,1.1,0,0,0.1,0,0,0,0,0,0,0.8,0,0.2,0,0,0,0.5,0,0,0.1,0.8,0,0
Šerák,2.1,4.2,5.7,5.2,1.5,0,1.2,3.1,2,1.3,0.1,0,0,0,0.4,0.1,0.6,0,0,0,0,0,0.1,0
Lysá hora,0.1,1.7,1.3,0.8,1,0,0.7,0,0,0.1,0,0.2,0.2,1,1.6,0.3,0.1,0,0,0,0,0,0,0
Labská bouda,2.4,2.7,2.2,1.6,1.1,1.4,0.8,2.4,2.2,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Klínovec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bučina, u Kvildy",0.3,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0.1,0,0
Churáňov,2.9,0.2,0,0,0,0,0,0,0,0,0,0,2.5,0,3.7,0,0,0,0,0,1,0.2,0,0
Dvoračky,2.6,2.4,2,1.2,1.4,0.8,0.6,1.5,1.8,0.8,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Filipova Huť,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.1,0,0,0
"Horská Kvilda, u Hamerského potoka",0.7,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.1,0,0
"Pomezní boudy, Horní Malá Úpa",1.2,2.8,1.7,2.9,1.8,1.7,0.4,1.1,2.1,1.7,2.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",0.8,2.5,5.6,3.2,0.6,0.5,0.1,1,3.5,1.6,0.3,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0
"Hejnice, Smědavská hora",1.3,1.7,2.3,1.9,2.2,2,1.9,2,1.8,1.3,0.7,0.5,0,0,0.1,0,0.2,0,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",0.5,5.7,8,5.6,1.4,0.7,4.8,2.7,1.8,0.3,0.2,0,0,0,0.1,0,3,0,0,0,0.1,0.2,0,0
Kubova Huť,1.2,0.2,0,0,0,0,0,0,0,0,0,0.1,0.8,0.2,5.6,2.9,0,0,0,0,0,0.1,0,0
"Josefův Důl, Rozmezí",1.2,2.2,2.7,2.4,2.8,2.9,3,2.3,1.9,1,0.6,0.2,0.1,0,0,0,0.3,0,0,0,0,0,0,0
"Hejnice, Knajpa",1,1.6,2.1,1.8,2.1,1.8,1.9,2.5,1.4,1,0.7,0.5,0,0,0.3,0,0.1,0,0,0,0,0,0,0
"Bílý Potok, Pavlova cesta",1,1.4,2.1,1.6,2.2,1.8,1.9,2.2,1.6,1.1,0.7,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0
Špičák,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4,0,0.3,0.1,0,1.2,0,0,0,0
"Kořenov, Lasičí",2,2.9,2.2,1.7,1.8,0.9,1.7,1.5,1.3,0.8,0.7,0.3,0.1,0,0.1,0,0,,,,,,,
Dyleň,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0
"Kořenov, Jizerská cesta",2.3,2.1,2.9,1.5,2.3,1.2,1.9,1.4,2,1.4,1.1,0.9,0,0,0,0.1,0,0,0,0,0,0,0,0
"Bílý Potok, U Jeřábu",1.7,1.8,2.7,1.8,2,1.4,2,1.6,2.3,1.8,1,0.6,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0
"Hejnice, Kasárenská",1.7,1.7,2.6,1.4,1.6,1.2,2,1.4,1.9,0.9,0.4,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0
Přebuz,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0.2,0,0,0
Borová Lada,5.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0.1,0,0
Abertamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
Prášily,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.8,0,0,0,0.9,0,0,0
"Bedřichov, Olivetská hora",0.6,1.6,2.1,1.8,2.9,2.4,3.2,1.5,0.8,1.3,0.5,0,0,0,0,0,0.4,0,0,0,0,0,0,0
"Luisino údolí, Deštné v Orlických horách",1.4,1.1,1.4,3.2,6.2,3.8,0.6,0.8,0.3,0,0.4,0.2,0,0.2,1.3,0.5,0,0,0,0,0,0,0,0
Hojsova Stráž,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0.1,0,0,0,0,0,0,0
"Kořenov, Jizerka",1.8,3.1,3.2,1.5,2.1,0.9,2,1.5,0.9,0.7,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.1,0,0
"Bílý Potok, Smědava",1.5,2,2.9,2.2,2.5,1.9,2.5,2.5,2.7,1.6,1.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Milešovka,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Měděnec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3
"Staré Hutě, Hojná Voda",0.9,0.2,0,0,0,0,0,0,0,0,0,0,2.3,0.2,0,0,0,0,0,0,0,0,0,0.1
Pec pod Sněžkou,1.3,3.2,2.8,1.9,1.1,0.8,0.2,0.7,1.1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strážný,3.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.9,0.3,0,0,0,0,0
"Bedřichov, Tomšovka",0.5,1.6,2.2,1.8,2.9,2.5,2.5,1.6,0.8,1.3,0.4,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0
