Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Luční bouda,0,0,0.6,0.9,2.6,1.6,1.8,3,1.3,1.1,3.8,2.1,1.8,3.8,4.9,7.4,6.8,8,7,5.2,6.1,5.9,3.8,3.2
Blatný vrch,0,0.9,2.3,1.6,0.7,0.6,0.4,0.8,0.9,0.6,0.1,1.3,1.6,1,0.3,0.4,0.3,0.1,0.1,0,0.1,0,0,1.6
"Boubín, vrchol",0,0.2,0.9,0.4,0.5,0,0,1.1,1.4,1.3,1.2,1.3,0.9,0.9,0.7,0.4,0.8,1.4,1.2,1.3,0.6,0.2,1.9,3.7
Plechý,0.2,0.4,0.9,0.3,0,0,0,0,0.2,0.5,1.1,1.4,1.3,1.1,0.9,0.4,0.3,0.3,0.1,0.1,0.1,0,0.1,0
Šerák,2.1,1.9,2.9,3.2,2,2,0.8,2.9,0.5,0.8,4.1,3.5,4.1,4.7,5,4.7,6,5.8,5.7,6.1,9.3,8.2,6.5,5.7
Lysá hora,0.8,2.6,0.7,0.7,0.2,0.2,0.5,0.3,0.3,1.1,3.6,0.7,2.7,2.2,2.3,2.6,2.2,3.3,5.3,2,1.6,0.2,0.1,0.8
Labská bouda,0,0,0.6,1.7,2.5,4.5,2.7,4.7,3.2,2.4,4.8,4.7,5.5,5.4,9,8,6.8,7,6.5,9,8,7.1,6.2,6.8
Klínovec,0,0,0,0,0,0,0,0,0.4,0.3,1,1.2,1.8,3.5,0.1,1.5,2.5,1.7,2,3.1,2.9,3.1,2.9,2.5
"Bučina, u Kvildy",0,0.5,3.9,1.6,0.6,2.1,2.2,0.6,0.9,1.5,1.5,1.2,1.7,2,2.6,2.5,2.2,3.2,3.4,3.4,3.5,2.3,3.6,4.5
Churáňov,0,0,0.7,0.8,0.4,2.3,2.2,0.6,1.2,1.6,1.3,1.8,1.8,2.3,3.3,5,4.1,4.5,3.8,4.5,6.2,5.4,5.8,6.3
Dvoračky,0,0,0.5,1.4,1.9,2.3,2.5,2.2,1.8,2.1,2.3,2.5,4.5,5.9,7.5,7.8,9.3,9.8,8.2,6.5,5.3,3.4,3.1,2.5
Filipova Huť,0.1,0.3,1,1.4,0.2,1.9,1.4,0.5,1.2,2.1,2.6,2,3.2,3.2,4.1,3.8,3.9,5.5,5.7,5.6,6.5,7.3,6.4,6.2
"Horská Kvilda, u Hamerského potoka",0.4,0.3,1.2,0.9,0.7,2.2,1.7,0.7,1.4,2.1,2.4,1.8,4.3,3.4,4.2,4.7,5.2,6.9,5,5,5.5,5.4,6.1,6.7
"Pomezní boudy, Horní Malá Úpa",0,0.1,1.5,3.9,4,2.8,3.9,4.8,4.8,3.8,3.6,6.1,7.7,7.8,6.2,6.2,6.2,7.5,7.1,3.4,4.1,2.6,2.3,2.2
"Bělá pod Pradědem, Červenohorské sedlo",1.6,1.6,2.5,3,1.3,1.2,0.8,2.2,0.4,0.2,5.8,4.3,4.9,5.7,5.2,4.2,6.1,5.8,4.8,7.4,6.8,10.4,10.1,6.8
"Hejnice, Smědavská hora",0,0,0.2,0.6,0.5,0.8,1.1,1.3,1.7,1.7,2.2,2.5,4.1,4.7,5.6,6,6.7,6.6,7.5,5.9,8.3,8.5,3.7,4.2
"Staré Město pod Sněžníkem, Paprsek",1.8,1.1,1.4,3.6,2,1.3,0.6,2,0.6,0.8,4.1,2.7,2.8,2.5,2.3,1.8,3.4,3.3,4.4,3.8,5.6,5.4,4.7,5.8
Kubova Huť,0,0.2,0.4,0.4,1.7,1.8,1.1,0.5,1.3,1.1,1.3,1.3,1,1.2,2.5,2.3,2.8,2.9,2.6,2.5,3,3,4.2,3.9
"Hejnice, Knajpa",0,0,0.2,0.4,0.4,0.5,0.9,1.2,1.6,1.4,1.7,2.2,3,4.2,4.5,4.3,4.8,4.7,5,3.7,3.9,4.5,2.5,2.4
"Bílý Potok, Pavlova cesta",0,0,0.1,0.4,0.5,0.6,0.9,1.2,1.5,1.7,2.2,3.2,4.4,5.5,5.8,6.2,6.7,6.6,6.7,6.5,7.8,9.2,4.7,5.6
Špičák,0,0,0.5,0.7,3.6,0.5,0.4,0.2,1.5,2,1.7,1.4,2.1,2.2,2.4,3.7,3.3,4.6,4.3,3.8,4.2,5.2,6.1,6.6
"Kořenov, Lasičí",0,0,0.2,1.5,2.1,2.2,1.2,1.3,1.8,2,2.1,2.5,4.3,4.1,4.6,5.3,5.7,5.3,6.3,3.9,5.4,6.3,3,4.7
Dyleň,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.5,0.3,1.7,1.5,2.9,0.4,0.3,0.1,0.3,0.3,0.4,0.2
"Kořenov, Jizerská cesta",0,0,0.3,0.8,1.2,1.3,1.2,1.2,1.5,1.8,2,2.6,3.7,3.8,4.6,4.8,5.2,5.3,6,4.6,6.3,6.9,2.7,4.3
"Bílý Potok, U Jeřábu",0,0,0.2,0.9,1.1,1.6,1.4,1.5,2.3,2.7,3.1,3.6,5.5,6.2,7.4,7.8,7.6,7.8,7.9,7.3,9.7,11.4,4.7,6.6
"Hejnice, Kasárenská",0,0,0.2,0.7,0.7,1.3,1,1.3,1.5,1.7,1.8,2.2,3.1,3.1,3.7,3.9,4,4.2,4.9,3.4,4.6,5.5,2.5,3.3
Přebuz,0,0,0,0,0,0,0,0.2,0.1,0.3,0.2,1.6,1.7,1.3,1.1,2.9,4.1,3.3,2.8,5.3,4.1,3.7,3.7,2.9
Borová Lada,0,0.1,0.4,0.6,0.9,2,2.5,1,1.5,1.6,1.4,1,2,1.8,2.2,2.2,2.5,3,3.8,3.1,3.6,2.8,3.8,4.5
Abertamy,0,0,0,0,0,0,0,0,0.1,2.2,1.2,1.8,1.5,2.3,2.4,0.9,4.1,2.1,2.1,2.8,3.1,3.3,2.4,3.1
Prášily,0,0,0.3,0.4,0.8,1.1,0.5,0.7,1,2,1,1.1,1.3,1.2,1.4,1.5,1.9,2.2,2.6,2.6,2.8,2.3,2.8,2.2
"Bedřichov, Olivetská hora",0,0,0,0.4,0.3,0.4,0.5,0.8,0.7,1.2,1.6,2.1,3.9,3.4,4,4.5,3.9,4.7,4.5,5.3,6.1,5.3,4.2,5.1
"Luisino údolí, Deštné v Orlických horách",2.2,3.3,3.4,3,3.4,3,2.4,2,2.5,0.4,3.9,3,3.1,2.6,2.8,3.8,2.6,3.6,3.4,2.4,2.7,2.9,3.3,5
Hojsova Stráž,0,0.1,0.5,0.8,0.8,0,0.2,0.1,0.4,3.1,1.6,1.5,2.1,2.9,2.8,2.7,1.8,4.7,3.1,3.9,4,5.3,5.9,6.9
"Kořenov, Jizerka",0,0,0.1,1,1.9,1.8,1.2,1.2,1.9,2,2.4,2.3,3.9,3.3,3.2,3.9,4.4,4.3,4.9,3,4,5.8,0.6,
"Kynžvart, Lazy",0,0,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,,,
"Bílý Potok, Smědava",0,0,0,1,0.8,1.4,1.4,1.5,2,1.9,2.8,3.1,4.6,5.3,6.3,7.1,7.2,7.3,8.6,7.3,9.8,10.3,4,5.1
Milešovka,0,0,0,0,0,0.1,0.2,0.2,0,0.1,0,0.3,0.6,0.2,0.2,0.2,0.4,0.2,0.2,0.7,1.1,0.6,1,0.2
Měděnec,0,0,0,0,0,0,0,0,0.6,0,1.5,0.9,1.8,0.5,1,2.4,2.2,2.6,3,3.9,3.2,2.5,3.5,3.7
"Staré Hutě, Hojná Voda",0.4,1.1,0.9,1.2,1.7,1.7,1.7,2.6,3,2.8,2.7,2.2,2.3,3,2.8,4.1,4.4,3.6,3.6,3.9,3.9,4.1,3,2.7
Pec pod Sněžkou,0,0.2,0.5,1.1,1.9,2.3,3.6,3.3,2.6,2.6,1.8,8.2,9.1,8,8.5,6.4,6.9,6.9,6.7,3.2,2,1.4,1,0.7
Strážný,0.1,0.2,0.2,0.2,0.6,2.4,1.5,0.7,1.3,1.7,1.3,1.1,2.1,1.4,2.4,2.1,2,2.6,2.5,2.2,3.7,2.9,4,3.9
"Bedřichov, Tomšovka",0,0,0.1,0.4,0.3,0.5,0.5,0.7,0.7,1.3,1.9,2.4,4.6,3.4,4.4,4.9,4.5,5.1,5.1,5.3,6.7,5.9,4.7,5.4
"Jelení, Nová Pec",0.3,0.5,1,3.7,2.7,1.5,1.1,1,1.4,1.9,1.9,1.8,0.7,1.4,1.9,1.9,1.8,1.9,2,1.8,3.1,2.8,5.6,4.9
Klíny,0,0,0,0,0,0,0.1,0.5,1.7,0.6,0.4,0.8,1.3,2,1.2,3.2,4.9,3.6,2.8,2.3,3.4,7.2,4.9,3.4
Zámyšl,0,0,0.3,0.6,0.3,1.4,0.1,0.2,0.9,1.5,0.3,1,0.5,1.3,2.1,3.3,2.3,2.5,4.1,2.7,3.1,2.6,3,4.4
Karlova Studánka,1.1,2.8,2.3,1.3,1,0.8,0.1,0.1,0,0.2,3.6,1.7,1.8,2.4,2.1,3,3.1,3.8,4.4,5.2,5.7,6,7,5.1
Zbytiny,0,0.6,3,2,2.6,1.4,1.6,1.7,3.2,2,2.4,3.3,0.9,2.6,3.5,3.4,3.1,2.9,3.5,3.2,5.1,4.3,4.9,3.5
"Bedřichov, Nová louka",0,0,0,0.4,0.5,0.7,1,1.3,1.6,1.8,2.4,3.3,6,6.9,6.1,6.9,7.1,7.1,6.3,4.8,5.6,4.7,3.6,3.2
"Bedřichov, Uhlířská",0,0,0.1,0.4,0.6,0.7,1,1.2,1.4,1.9,2.8,3.3,6,5.5,5.9,6.3,5.7,6.4,5.5,5.1,6.4,5.6,4.3,4.5
Bedřichov,0,0,0,0.4,0.6,0.6,1,1.2,1.5,1.7,2.1,2.8,5.1,5.6,5.3,6.3,5.8,6.1,5.2,4.4,5.5,5.1,2.8,2.4
"Kořenov, Jezdecká",0,0,0.2,0.7,0.8,1.3,1.1,1.3,1.8,2,2.1,2.4,4.2,4.1,3.8,3.7,3.2,,,,,,,
Pohorská Ves,0.9,1.4,1.3,1.2,2.3,2.5,3.3,3.3,4,4.4,4.5,3.5,3.9,4.3,4.3,4,4.5,4.7,4.5,5.5,5.5,5.4,4.8,4.3
"Desná, Souš",0,0,0.1,0.7,1.1,1.6,1.1,1.2,1.7,2.1,2.2,2.3,4.7,4.3,3.5,3.9,3,3.3,3.5,1.9,3.4,3.1,0.4,
"Dlouhé Stráně, Kouty nad Desnou",2.2,1.7,2.5,1.7,1.2,1,0.1,1.2,0.3,0.6,4.7,2.8,3.8,3.3,4,5.2,5.1,5.3,6.8,6.5,8.2,7.9,7.9,6.5
"Ktiš, Tisovka",0,0.6,3.1,2.3,2,1.3,1.9,2.1,2.2,1.7,2.8,2.1,1.4,3.2,3.1,3.5,3.2,2.9,3.1,4.6,4.2,3.3,3.5,3.3
"Bedřichov, Blatný rybník",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Železná Ruda,0,0,0.4,0.6,1.6,2.7,0.5,0.2,1.5,2.4,1.8,2.1,2.7,2.6,3.2,4.1,4.3,2.5,1.8,2.2,1.8,0.6,0,1.2
"Bedřichov, Kamenice",0,0,0.2,0.5,0.7,0.8,1,1.2,1.8,1.7,2,2.6,4.9,5.9,6,6.7,6.9,6.8,6.1,3.8,3.7,4.4,2.6,2.4
Volary,0.4,0.1,1.9,1,3.8,1.6,2,0.5,1.9,2.7,1.6,1.5,0.7,1.5,2.3,2.1,1.9,2,1.8,1.4,2,1.5,2.8,2
Červená,1.6,2,1.3,2.4,1.6,0.1,0,0,0,2.3,3.2,1.8,1.5,1,3.4,3,2.8,2.9,6.1,5.3,2.4,2.8,4.1,2.1
"Nýdek, Filipka",0.2,0.5,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.3,0.6,0.7,1.5,1.4,0.8,1.6,2,1.8,1.4,0.3,0.7,0.9
Přimda,0,0,0,0,0,0,0,0,0,0.1,0.6,0.8,0.8,1.9,1.7,0.4,1.2,1,0.8,0.8,0.4,1.3,0.7,0.9
Černá v Pošumaví,0.3,0.1,2.6,1.4,1.7,1.4,1.1,0.9,1.8,0.9,1.4,1.3,0.6,0.9,1.5,1.6,1.6,1.4,1.2,0.9,2.4,2.3,2.1,1.3
