Stanice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Praděd,1.1,1.3,2.3,1.2,2.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luční bouda,1.5,1.6,2.8,2.1,1.7,0.4,0.3,0.1,0,0.1,0,0.9,0.2,0,0.6,5.7,0,0,0,0,0,0,0,0
Blatný vrch,0.8,0.5,0.1,0,0,0.1,0,0,0,0,0.6,2.6,0,0,0,1.2,3.2,0.6,0,0,0,0,0,0.3
"Boubín, vrchol",0.1,0.6,0,0,0,0,0.1,0,0,0,0.2,0.6,0.8,0.4,0.2,0,0.1,1.4,0,0,0,0,0,0
Plechý,2.3,2.5,0.1,0,0,0,0,0,0,0,0,0.5,1.4,0.5,0,2,5.3,6.6,4.3,1.6,0,0,0,0
Šerák,1.6,2.2,3,2.3,2.7,1.4,0,0,0,0,0,0,0,3.7,0,0,0,0.5,0,0.2,0,0,0,0
Lysá hora,0.1,3.2,6.4,0.5,3,2.2,1.6,4.3,1.6,0.1,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,3.2
Labská bouda,1.4,2.3,3.1,4.1,3.2,1.1,0.1,0,0,0,0.7,0.5,0,0,0,0.7,0,0,0,0,0,0,0,0
Klínovec,0.6,0.2,0,1.1,0,0.1,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0,1.1,0,0,0,0,0
"Bučina, u Kvildy",0.2,0.1,0,0,0,0,0,0,0,0,0.4,2.4,0,0.1,0,1.4,1.1,1.3,0,0,0,0,0,0
Churáňov,0.3,0.8,0,0.1,0,0,0,0,0,0,0.1,0.2,0,0.1,0,1.1,1,0.2,0,0,0,0,0,0.1
Dvoračky,1,1.3,1.3,2.6,3.1,0.6,0.4,0.2,0,0,0.1,0.4,0.1,0.6,1.6,1,0,0,0.1,0,0,0,0,0
Filipova Huť,0.1,0.3,0.1,0,0,0,0,0,0,4.3,1.3,3,0,0.3,0,0.3,3.5,0.4,0,0,0,0,0,0
"Dolní Morava, Slaměnka",1.4,1.5,2.1,2.2,3.5,0.6,0,0,0,0,0.3,0.1,0,0.9,0.2,0,0.3,0,0,0,0,0,0,0
"Horská Kvilda, u Hamerského potoka",0.5,0.8,0.1,0.1,0,0,0,0,0,0.1,0.2,0.7,0,0.4,0,0.3,2.2,0.4,0,0,0,0,0,0.1
"Pomezní boudy, Horní Malá Úpa",1.1,1.7,2.9,3.2,1.9,0.9,0.2,0,0,0,0.1,0.9,0,0,0,1.4,0,0,0,0,0,0,0,0
"Bělá pod Pradědem, Červenohorské sedlo",1.1,1.7,2.8,1.5,1.8,0.3,0,0,0,0,0.2,0.2,0,0,0.1,0,0,0.1,0,0,0,0,0,0
"Hejnice, Smědavská hora",1.2,1.6,1.7,2.2,1.3,1.2,0.7,0.2,0,0,1.1,0.4,0.2,0,3.1,0,0.1,0.5,0,0,0,0,0,0
"Staré Město pod Sněžníkem, Paprsek",1.6,1.6,2.3,1.9,2.3,1,0,0,0,0.3,0.3,0,0,2.2,0,0,0,0.1,0,0.5,0,0,0,0
Kubova Huť,0.1,0.6,0,0,0,0,0,0,0,0,0.6,1.2,0.3,0.6,0,0,0.1,1.6,0,0,0,0,0,0
"Josefův Důl, Rozmezí",1.5,1.9,1.9,3,2.4,1.8,1.2,0.5,0.1,0,1.2,0.1,0.7,0,4.6,0,3.4,0.6,0,0,0,0,0,0
"Hejnice, Knajpa",,,,,,,,,,,,,,,,,,,,,,,,
"Bílý Potok, Pavlova cesta",1.3,1.6,1.5,2,1.1,1,0.7,0.1,0.1,0,0.4,0.3,0.2,0,3.6,0,0,0.2,0,0,0,0,0,0
Špičák,0.4,0.4,0.3,0.1,0,0,0,0,1,0.5,0.1,0.2,0.2,0.1,0.2,0.3,1.4,0,0,0,0,0,0,3.2
"Kořenov, Lasičí",1.3,1.2,1.3,1.8,1.4,0.9,0.8,0.1,0,0.1,1.4,0.1,0,0.1,1.9,0,0,0.1,0,0,0,0,0,0.1
Dyleň,0,0.2,0,0.2,0,0,0,0,0,0,0.1,3.5,3.5,1.1,0.2,0.4,0.2,0,0,0,0,0,0.1,0
"Kořenov, Jizerská cesta",2.2,1.9,1.9,2.6,2,1.4,0.8,0.3,0.1,0.1,0.5,0.1,0.2,0,4,0,0,0.1,0,0,0,0,0,0.1
"Bílý Potok, U Jeřábu",1.3,1.4,1.9,2.7,1.9,1.5,0.9,0.3,0.1,0.5,0.2,0.1,0,0,2.4,0,0,0.1,0,0,0,0,0,0
"Hejnice, Kasárenská",3,1.2,1.2,2.5,1.7,1.3,0.8,0.3,0,0,0.2,0.3,0.3,0,2.1,0,0,0.7,0,0,0,0,0,0
Přebuz,0.4,0,0.6,0,0,0,0,0,0,1.6,0.1,0,1.5,0.2,0.1,0,0,1.8,0.1,0.1,0.1,0,0,0
Pohoří na Šumavě,0.9,1.2,0.3,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0,0,0.2,0.9,0,0,0,0,0
Borová Lada,0.3,0.4,0,0,0,0,0,0,0,0,0.9,0.8,0,0.5,0,0.4,0.8,1.6,0,0,0,0,0,0
Abertamy,1,0.1,0.5,0,0,0,0,0,0,0.1,0,0.9,2.2,0.6,0,0.1,0,0.2,0.4,0,0,0,0,0
Prášily,0.5,0.8,0.1,0,0,0,0,0,0,0,0.3,0.5,0,0.1,0,1.4,1.5,0,0,0,0,0,0,2
"Bedřichov, Olivetská hora",1.1,1.4,1.5,2,1.7,1,0.6,0.4,0,0,0.3,0,0.3,1.1,0.6,0,3.2,0,0,0,0,0,0,0
"Luisino údolí, Deštné v Orlických horách",2.4,2.5,2.7,3.7,2.1,0.7,0,0,0,0,0,0,0.4,0.9,0,0.2,0.1,0.6,0,0,0,0,0,0
Hojsova Stráž,0.2,0,0.2,0,0,0,0,0,1.1,0.6,0.1,0.1,0,0.5,0,1.6,2.5,0,0,0,0,0,0.4,2.6
"Kořenov, Jizerka",1.4,1.2,1.5,1.9,1.4,0.8,0.7,0.2,0,0,0.5,0.1,0,0.1,1.2,0.1,0,2.1,0,0,0,0,0,0
"Kynžvart, Lazy",0,0.1,0.1,0,0,0,0,0,0,1.8,0,1.6,0.7,0,0.6,0.6,0,0,0.2,0,0,0,0,0
"Bílý Potok, Smědava",1.6,2,2,2.7,2.1,1.5,0.9,0.3,0,0,0.4,0.3,0,0,5.4,0,0,0.5,0,0,0,0,0,0
Milešovka,0.2,0.7,0.5,0,0,0.1,0.4,0.4,0.5,0,0,0.3,0,0.3,1.1,0,0,1,0,0,0,0,0,0
Měděnec,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0
"Staré Hutě, Hojná Voda",0.9,0.7,0.2,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0,0,0,1,0,0,0,0,0,0
Pec pod Sněžkou,1.1,0.7,1.2,1.1,2,0.7,0.1,0,0,0,0,0.3,0,0,0.2,0.3,0,0.6,0.4,0,0,0,0,0
Strážný,0.5,0.6,0,0,0,0,0,0,0,0,0.1,1.7,0.1,0.3,0.2,0,1.1,0.5,0.1,0,0,0,0,0
"Bedřichov, Tomšovka",1.1,1.6,1.6,2.2,1.7,1.1,0.7,0.4,0,0,0.4,0,0.3,0.7,1.7,0,2.3,0,0,0,0,0,0,0
"Jelení, Nová Pec",1.2,0.6,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0.4,0.8,1.4,0,0,0,0,0,0
Klíny,0.2,0.1,0,0.1,0.2,1.1,0,0.1,0,0.5,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0
Zámyšl,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0.2,0.3,0.1,0,0.9,0.5,0,0,0,0,0,0,0.5
Karlova Studánka,1,1.4,2.1,0.7,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbytiny,0.2,0.2,0.1,0,0,0,0,0,0,0,0.2,0,0.5,0,0.2,0,0.7,0.7,0,0,0,0,0,0
"Bedřichov, Nová louka",1.2,1.8,2,2.5,1.8,1.3,0.9,0.4,0.1,0,1,0,0,0,3,0,1.5,0.1,0,0,0,0,0,0
"Bedřichov, Uhlířská",,,,,,,,,,,,,,,,,,,,,,,,
Bedřichov,1.1,1.8,1.8,2.5,1.8,1.1,0.7,0.3,0.1,0,1.4,0,0,0,1,0,1.1,0,0,0,0,0,0,0
"Kořenov, Jezdecká",2.6,1.2,0.9,1.6,1.5,0.9,0.8,0.2,0.1,0,0,0.2,0.4,0.1,1.5,0,0,1.3,0,0,0,0,0,0
Pohorská Ves,0.8,0.9,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0.4,0,0.4,0.1,0,0,0,0
"Desná, Souš",2.7,1.2,1,1.4,1.1,0.7,0.4,0.2,0,0,0.1,0.5,0,0,1.2,0,0,0.8,0,0,0,0,0,0
"Dlouhé stráně, Kouty nad Desnou",1.3,1.9,2.9,1.1,2.5,0.8,0,0,0,0,0,0.8,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0
"Ktiš, Tisovka",0.3,0.6,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,3.1,0.4,0.1,0,0,0,0,0
"Bedřichov, Blatný rybník",0.9,1.4,1.6,2.2,1.6,1.1,0.7,0.4,0.1,0,0.8,0,0,0,2.8,0.1,1.4,0,0,0,0,0,0,0
Železná Ruda,0.3,0.6,0.2,0.1,0,0,0,0,0,0.7,0.3,0.4,0,0.5,1.2,0.4,1.4,0,0,0,0,0,0,3.7
"Bedřichov, Kamenice",1,1.2,1.4,2,1.6,1.2,0.8,0.4,0,0,1.3,0,0.1,0,4.5,0.1,1.1,0.1,0,0,0,0,0,0
Volary,0.7,0.4,0,0,0,0,0,0,0,0,0,0.6,0.1,0,0.2,0,2,1,0,0,0,0,0,0
Červená,1.6,2.4,2.9,0.3,0.2,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Nýdek, Filipka",0.1,0.6,5.6,1.1,0.4,1.6,2.3,1.3,0.3,0,0,0,0,0,0,0,0,0,1.5,2.1,0,0,0,0
Přimda,0.2,0.5,0.3,0.3,0,0,0,0,0,0,0.7,0.2,3.3,1.3,1,2.4,0,0,0.8,0,0.4,0,0,0
Černá v Pošumaví,0.7,0.7,0.1,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,1.5,1.6,0.2,0,0,0,0,0
"Olešnice, Čihalka",2.1,2.6,2.5,3.1,3.1,0.7,0,0,0,0.1,0,3,1.8,1.7,0,0.2,0.1,0,0,0,0,0,0,0
Svratouch,2.7,2.5,2.7,4,0.5,0,0,0,0,0,0,1.2,2.1,1.1,0,0,0,0,0.2,0,0,0,0,0
Čachrov,0.2,0.1,0.3,0.1,0,0,0,0,0,0.4,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0,0.1
Kašperské Hory,0.4,0.3,0.1,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0.6,0,0,0,0,0,0,0.3
"Bílá, Salajka",0.1,3.4,6.6,0.2,0.4,0.7,0.1,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0,0,0,0.6
Nová Ves v Horách,0.2,0.3,0.1,0,0.1,2.6,0,0,0,2.3,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
Nedvězí,1.8,1.6,1.7,1.8,0.3,0,0,0,0,0,0,0.6,1.8,2.1,0.7,0,0,0,0,0,0,0,0,0
Černý Důl,1.9,1.1,0.9,1.3,1.3,0.2,0,0,0,0,0,0.1,0.9,0,0.2,0.1,0,0.3,0,0,0,0,0,0
Bezvěrov,0.4,0,0,0,0,0,0,0,0,1,0,2.6,1.7,1.8,0.7,0,0,0,0.6,0,0,0,0,0
"Mariánské Lázně, vodárna",0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.4,0.7,0.9,0.1,0.9,0.1,0,0,0,0,0,0,0
Vysoké nad Jizerou,1.2,1.5,0.8,1.7,2,0.8,0.5,0,0,0,0,0.9,0.3,0.1,0.4,0.3,0,0.6,0,0,0,0,0,0
Aš,0.1,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.1,0.1,0,0,0,0,0,0
Harrachov,1.5,1.4,1.2,2,2.2,0.7,0.4,0,0,0,0,0.4,0.1,0,0.4,0.3,0,0.6,0.1,0,0,0,0,0
Protivanov,1.1,1.4,0.4,0.3,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Kadov,2,1.5,1.7,4.3,0.4,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0.2,0,0,0,0,0
Zdobnice,2.5,2.4,1.7,3,2.5,0.8,0,0.1,0,0,0,0,0,1,0,0.1,0.2,0,0,0,0,0,0,0
Orlické Záhoří - vodárna,2.1,1.7,1.5,2.7,1.6,0.1,0,0,0,0,0,0,2.6,0.8,0,0,0,0,0,0,0,0,0,0
"Hošťálková, Maruška",1.9,2.8,1.1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Deštné v Orlic. horách,2.7,2.1,2.4,3.3,2.2,0.6,0,0.1,0,0.1,0,0,0.3,1.8,0.1,0.7,0,1.6,0,0,0,0,0,0
"Borovno, Míšov",0.8,2.1,1.4,0.4,0,0,0,0,0,0.1,0,0,0.1,0.2,0.3,0,0,0,0,0.5,0.1,0,0,0
Krásné Údolí,0.2,0.1,0.1,0,0,0,0,0,0,0,0.5,0.5,2.3,1.2,0.1,0,0,2.6,0.1,0,0,0,0,0
Žacléř,1.1,1.3,1.5,1.9,0.9,0.2,0,0,0,0,0,0.1,0.1,0,0.1,6.7,0,0,0,0.1,0,0,0,0
Strašín,0.3,0.6,0.1,0,0,0,0,0,0,0.6,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0.2
Vimperk,0,0.2,0,0,0,0,0,0,0,0,0.7,0,0,0,0.1,0.7,0,0.7,0,0,0,0,0,0
"Petrovice, Krásný Les",0,0.3,0.2,0.1,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josefův Důl,1.7,1.1,0.9,2.1,1.7,1.2,0.5,0.1,0.1,0,0.2,0.8,0,0,1.5,0,0.1,0.4,0,0,0,0,0,0
Nový Rychnov,1.5,1,1.8,0.8,0,0,0,0,0,0,0,0,0,0,5.3,0.2,0,0,0,0,0,0.1,0,0
Pivoň,0.1,0.1,0.1,0,0,0,0,0,0,0.5,0.4,0.1,0.3,0.6,1.1,1.8,0.1,0,0,0,0,1.7,0,0.1
Počátky,1.2,1.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0.1,3.4,0.1,0,0,0,0,0,0,0
"Nadějkov, Větrov",0.9,0.5,0.6,0.1,0,0.1,0,0,0,0,0,0,0,1.1,0,0.3,0,0,0,0,0,0,0,0
Netřebice,1,0.3,0.2,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,2.1,0.5,0.1,0,0,0,0
